 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.002
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
      0.144  127966.986   -94981.21  10179.4527   -37065.84  -126015.03
      0.146  126719.516   -92310.98  10583.4169    -36023.8  -124574.48
      0.148  125209.601   -89465.88  10984.6618   -34913.51  -122940.48
       0.15  123460.198   -86464.54  11383.3141   -33742.26  -121130.12
      0.152    121496.5    -83326.5  11779.7819   -32517.66  -119161.76
      0.154  119345.695   -80072.02  12174.7251  -31247.616  -117054.97
      0.156   117036.72   -76722.02  12569.0204  -29940.302  -114830.37
      0.158  114599.982   -73297.97  12963.7238  -28604.085  -112509.44
       0.16  112067.084   -69821.71    13360.03  -27247.497  -110114.38
      0.162  109463.696   -66313.23   13758.412  -25878.334  -107663.87
      0.164  106802.497   -62788.31  14157.7717  -24502.756  -105168.77
      0.166  104089.877   -59260.66   14556.251  -23126.112   -102636.2
      0.168  101332.708     -55744.  14952.0544  -21753.755  -100073.57
       0.17   98538.278   -52251.98  15343.4531  -20391.016    -97488.5
      0.172   95714.221   -48798.12  15728.7885   -19043.17   -94888.79
      0.174   92868.452   -45395.74  16106.4742  -17715.412   -92282.36
      0.176   90009.088   -42057.86   16474.998  -16412.823   -89677.18
      0.178   87144.379   -38797.14  16832.9225  -15140.348   -87081.24
       0.18   84282.624   -35625.82  17178.8855   -13902.76   -84502.47
      0.182   81435.397    -32556.7  17511.9948  -12705.055   -81950.66
      0.184   78620.739  -29604.117  17832.2165  -11552.826   -79439.39
      0.186   75859.685  -26782.805  18139.9599  -10451.826   -76983.92
      0.188   73172.776  -24106.782  18435.6566   -9407.525   -74599.12
       0.19   70579.867  -21589.257  18719.7349   -8425.076   -72299.34
      0.192   68099.937  -19242.559  18992.5949   -7509.291   -70098.32
      0.194   65750.915   -17078.07  19254.5852   -6664.613   -68009.06
      0.196   63549.515  -15106.161  19505.9803   -5895.087   -66043.77
      0.198   61511.076  -13336.137  19746.9609   -5204.346   -64213.72
        0.2   59649.421   -11776.18  19977.5952   -4595.582   -62529.18
      0.202   57977.448   -10433.54  20197.9097   -4071.625   -60999.81
      0.204   56507.727   -9314.719   20407.961   -3635.012   -59634.95
      0.206   55251.667   -8425.209  20607.7348   -3287.886   -58443.19
      0.208   54218.687   -7769.229  20797.0479  -3031.8942   -57431.81
       0.21   53416.128   -7349.704  20975.5386  -2868.1773   -56606.78
      0.212   52849.188   -7168.248  21142.6607   -2797.365   -55972.67
      0.214   52520.871   -7225.153  21297.6819  -2819.5718   -55532.66
      0.216   52431.959    -7519.39  21439.6847   -2934.396   -55288.47
      0.218   52581.006   -8048.614  21567.5718  -3140.9224    -55240.4
       0.22   52964.353   -8809.176  21680.0751   -3437.727   -55387.28
      0.222   53569.772   -9794.106  21775.0021    -3822.09   -55722.69
      0.224   54370.194  -10991.107   21848.499   -4289.213   -56231.13
      0.226    55330.35  -12384.668   21895.871   -4833.041   -56892.03
      0.228    56413.49  -13958.188  21912.4173   -5447.098    -57683.7
       0.23   57581.726  -15694.066  21893.5022   -6124.514   -58583.53
      0.232   58796.386  -17573.803  21834.6279   -6858.069   -59568.11
      0.234    60018.38  -19578.099  21731.5063   -7640.234   -60613.51
      0.236   61208.557  -21686.968    21580.13   -8463.207   -61695.36
      0.238    62328.08  -23879.839  21376.8426   -9318.962   -62789.12
       0.24   63338.785  -26135.679  21118.4049  -10199.289   -63870.19
      0.242   64201.814  -28432.553  20801.8519   -11095.63   -64913.15
      0.244   64876.254  -30747.197  20424.3488  -11998.906   -65890.86
      0.246   65321.244    -33055.7  19983.4612  -12899.786   -66775.72
      0.248   65498.081   -35334.18  19477.4229   -13788.95   -67540.89
       0.25   65370.579   -37558.94    18905.19  -14657.147   -68160.56
      0.252   64905.409   -39706.55  18266.4879  -15495.238   -68610.06
      0.254    64072.41   -41754.03  17561.8503  -16294.255    -68866.1
      0.256   62844.868   -43678.95  16792.6483  -17045.443   -68906.95
      0.258   61199.765   -45459.56   15961.112  -17740.314   -68712.54
       0.26   59117.995    -47074.9  15070.3405  -18370.694   -68264.68
      0.262   56587.314   -48505.84  14124.6356  -18929.108    -67548.8
      0.264   53605.228   -49736.02  13129.8199  -19409.177   -66555.76
      0.266   50176.238   -50751.08  12092.8685  -19805.298    -65280.2
      0.268   46309.026   -51537.86  11021.5266  -20112.335   -63718.97
       0.27   42016.369   -52084.47  9924.24869  -20325.647   -61871.07
      0.272   37315.015   -52380.35  8810.12987  -20441.112   -59737.71
      0.274   32225.531   -52416.32  7688.82731   -20455.15   -57322.22
      0.276   26772.102   -52184.66  6570.47466  -20364.745   -54630.09
      0.278  20982.3052   -51679.11  5465.58895  -20167.458   -51668.85
       0.28  14886.8507   -50894.95  4384.97143  -19861.445   -48448.03
      0.282  8525.15022   -49830.87  3340.30497  -19446.195   -44982.59
      0.284  1950.80627   -48490.86  2344.73608  -18923.262   -41296.29
      0.286   -4774.751   -46882.29  1412.02772  -18295.527   -37418.01
      0.288  -11588.699   -45014.04    555.6994  -17566.454   -33377.96
       0.29  -18427.415   -42896.43  -211.13072  -16740.069  -29207.462
      0.292  -25227.067   -40541.15  -875.90192  -15820.936  -24938.686
      0.294   -31924.22   -37961.22  -1426.7637  -14814.134  -20604.398
      0.296   -38456.43    -35170.9  -1852.7232   -13725.23  -16237.692
      0.298   -44762.81   -32185.62  -2143.7865  -12560.243  -11871.733
        0.3   -50784.65  -29021.891  -2291.0909  -11325.616   -7539.489
      0.302   -56476.35  -25693.867  -2288.2816  -10026.875   -3267.198
      0.304    -61816.4  -22209.937  -2132.8571   -8667.292   932.11915
      0.306   -66797.05   -18576.01  -1824.9556   -7249.175  5052.48282
      0.308   -71413.95  -14798.829  -1366.1095   -5775.153  9088.71441
       0.31   -75666.18  -10885.931  -759.24019   -4248.168  13036.4754
      0.312   -79556.27   -6845.605    -8.63974  -2671.4555  16892.2953
      0.314   -83090.17  -2686.8464   880.05977  -1048.5254  20653.5915
      0.316   -86277.17  1580.69136  1899.92965   616.85516   24318.681
      0.318   -89129.86  5946.75238  3042.80023  2320.68385  27886.7828
       0.32   -91663.95  10400.5342  4299.32808  4058.74505   31358.013
      0.322   -93882.42  14925.7143  5660.96294    5824.669    34723.91
      0.324   -95759.68  19495.5072  7121.89523  7608.00282   37958.023
      0.326   -97257.61  24077.8465  8677.17733  9396.23279   41025.567
      0.328   -98341.61  28640.5962  10320.8253   11176.818   43893.131
       0.33   -98981.01   33151.729  12045.8198    12937.26   46528.926
      0.332   -99149.29   37579.503  13844.1178  14665.1721   48903.008
      0.334   -98824.34   41892.641  15706.6761  16348.3477   50987.492
      0.336   -97988.67   46060.499  17623.4858  17974.8288    52756.75
      0.338   -96629.56   50053.239  19583.6183  19532.9714   54187.585
       0.34    -94739.2   53841.996  21575.2827  21011.5107   55259.393
