 
 SAP2000 v24.1.0 File: TRUSS-KASSIMALI-115-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  inelastic-0.002
 FUNCTION  axial-1:  Frame 1  Station 1  Axial Force    
 FUNCTION  axial-0:  Frame 0  Station 1  Axial Force    
 FUNCTION  axial-2:  Frame 2  Station 1  Axial Force    
 FUNCTION  axial-3:  Frame 3  Station 1  Axial Force    
 FUNCTION  axial-4:  Frame 4  Station 1  Axial Force    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
                axial-1     axial-0     axial-2     axial-3     axial-4
      0.714  -130000.21   119854.37  -28526.551   46772.437   99868.105
      0.716  -130000.22  121063.485  -30689.963   47244.287  102069.384
      0.718  -130000.23  121879.108   -32693.45   47562.579  104106.537
       0.72  -130000.23  122298.386   -34533.06   47726.199  105977.355
      0.722  -130000.24  122316.933    -36203.8   47733.437  107673.044
      0.724  -130000.24  121925.116   -37698.25   47580.533  109171.228
      0.726  -130000.24  121111.847   -39007.95    47263.16  110443.064
      0.728  -130000.25  119868.372   -40124.79   46777.901  111460.385
       0.73  -130000.25  118188.326   -41040.99   46122.273  112195.809
      0.732  -130000.25  116067.763   -41749.08   45294.737   112622.86
      0.734  -130000.25  113505.181    -42241.9   44294.705  112716.069
      0.736  -130000.25  110501.529   -42512.55   43122.548  112451.081
      0.738  -129209.59  107060.203   -42554.88   41779.592  111805.166
       0.74  -127496.48  103187.026   -42364.58   40268.108   110758.21
      0.742  -124856.19   98896.845    -41942.3   38593.891  109305.846
      0.744  -121334.24   94220.086   -41296.21   36768.814  107471.995
      0.746  -117005.19   89195.947   -40439.41   34808.175  105296.205
      0.748  -111951.18   83865.555   -39387.27   32728.022  102820.871
       0.75  -106261.15   78271.734   -38157.23   30545.067  100090.899
      0.752  -100030.04   72458.769   -36768.61  28276.5929   97153.348
      0.754   -93357.86   66472.161   -35242.34  25940.3556   94057.051
      0.756   -86348.78   60358.373   -33600.75  23554.4871    90852.22
      0.758   -79110.15   54164.575   -31867.32  21137.3949    87590.04
       0.76   -71751.47   47938.378  -30066.342  18707.6597   84322.251
      0.762    -64371.7   41723.842  -28221.313   16282.475   81093.713
      0.764   -57046.63   35557.494  -26353.226  13876.0952   77935.019
      0.766   -49839.85  29471.8593  -24481.767  11501.2134   74869.253
      0.768   -42813.83  23499.0168  -22626.514  9170.34801   71918.809
       0.77   -36029.38  17670.4191  -20806.736  6895.77331   69105.196
      0.772   -29545.04  12016.7191  -19041.206  4689.45134   66448.851
      0.774   -23416.52  6567.59946  -17348.008  2562.96564   63968.957
      0.776  -17696.207  1351.60865  -15744.362   527.45703    61683.28
      0.778  -12432.654   -3603.998   -14246.45  -1406.4382   59608.005
       0.78   -7670.124   -8273.409  -12869.256   -3228.647     57757.6
      0.782   -3443.821  -12633.791  -11625.902    -4930.26   56142.065
      0.784   224.79717  -16666.805  -10526.997   -6504.119   54764.233
      0.786  3323.86599  -20357.318   -9581.067   -7944.319   53622.344
      0.788    5846.876  -23692.098    -8795.01   -9245.697   52712.658
       0.79  7792.73346  -26659.883   -8174.039  -10403.857   52029.479
      0.792  9165.77214  -29251.449   -7721.652    -11415.2   51565.184
      0.794  9975.71427  -31459.657    -7439.61   -12276.94   51310.279
      0.796  10237.5804    -33279.5   -7327.939   -12987.12   51253.468
      0.798  9971.54957    -34708.1   -7384.945  -13544.626   51381.734
        0.8   9202.7707   -35744.79   -7607.247  -13949.188   51680.441
      0.802  7962.59919   -36391.52   -7989.651  -14201.569   52132.565
      0.804   6289.7766   -36653.34   -8525.042  -14303.744   52717.943
      0.806   4228.5948   -36537.92   -9204.651  -14258.702   53414.317
      0.808  1827.00779   -36055.02  -10018.337  -14070.251     54198.4
       0.81  -863.81823   -35216.42  -10954.705  -13742.993    55046.06
      0.812   -3789.986   -34035.89  -12001.239    -13282.3   55932.518
      0.814   -6895.373    -32529.1  -13144.442  -12694.285   56832.555
      0.816  -10122.159  -30713.523  -14369.988  -11985.765   57720.712
      0.818  -13411.368  -28608.333  -15662.879  -11164.227   58571.505
       0.82  -16703.421  -26234.325  -17007.605  -10237.785   59359.637
      0.822  -19937.926  -23614.028  -18388.224    -9215.23   60059.742
      0.824  -23053.468   -20771.83  -19788.437    -8106.08   60646.131
      0.826  -25988.959    -17733.6  -21191.856   -6920.429   61093.476
      0.828  -28684.991   -14526.29  -22582.271   -5668.796   61377.482
       0.83  -31084.392  -11177.793  -23943.821   -4362.065   61475.095
      0.832   -33132.76   -7716.782  -25261.163  -3011.4273   61364.695
      0.834   -34778.99   -4172.558  -26519.632  -1628.3154    61026.28
      0.836   -35975.73  -574.88058  -27705.391  -224.34364   60441.634
      0.838   -36679.83  3046.19417  -28805.575   1188.7587   59594.484
       0.84   -36852.79  6660.47947  -29808.427   2599.2115    58470.64
      0.842   -36461.07  10237.8265   -30703.41  3995.24937   57058.117
      0.844   -35476.41  13748.2913  -31481.317  5365.18685   55347.239
      0.846   -33876.14  17162.3009   -32134.37  6697.48327   53330.726
      0.848   -31643.35  20450.8171   -32656.27  7980.80668   51003.754
       0.85  -28767.057  23585.4979   -33042.29  9204.09673   48364.008
      0.852  -25242.334  26538.8542    -33289.3   10356.626   45411.699
      0.854  -21070.329  29284.4027    -33395.8  11428.0596    42149.57
      0.856  -16258.264   31796.812   -33361.92  12408.5122   38582.877
      0.858  -10819.371   34052.046   -33189.41  13288.6032   34719.348
       0.86   -4772.763    36027.49   -32881.62  14059.5085  30569.1271
      0.862    1855.965   37702.334   -32443.56  14713.1061  26145.1534
      0.864  9034.20883   39057.926   -31881.92  15242.1175  21463.5253
      0.866  16723.4296   40077.633   -31204.88  15640.0518   16542.905
      0.868  24880.2923   40746.683  -30421.964  15901.1447  11403.9029
       0.87   33457.072   41052.252  -29543.891  16020.3912  6068.91042
      0.872   42402.101    40983.53  -28582.468  15993.5727   561.91702
      0.874   51660.255   40531.782  -27550.457  15817.2807   -5091.685
      0.876   61173.472   39690.398  -26461.426  15488.9358  -10865.309
      0.878   70881.294    38454.93  -25329.598  15006.8018   -16731.39
       0.88   80721.436   36823.113  -24169.692  14369.9952  -22661.614
      0.882     90628.9   34795.353  -22996.932  13578.6742  -28626.263
      0.884  100535.111    32375.19  -21827.054  12634.2207   -34593.57
      0.886  110370.033  29568.8145  -20675.951  11539.0496   -40530.89
      0.888    120064.3  26384.5545  -19559.314  10296.4115   -46405.79
       0.89  129549.868   22832.836  -18492.451  8910.37504   -52186.39
      0.892  130000.261  18926.1227  -17484.604  7385.80396   -57846.15
      0.894   130000.27  14678.8466  -16533.202  5728.33039   -63368.83
      0.896  130000.279  10107.3289  -15629.446  3944.32346   -68743.89
      0.898  130000.287  5229.68858  -14764.326  2040.85408   -73961.64
        0.9  130000.295    65.74265  -13928.969    25.65567   -79013.04
      0.902  130000.303   -5362.457  -13114.927  -2092.6661   -83888.55
      0.904  130000.311  -11030.098  -12314.483   -4304.428   -88576.99
      0.906  130000.318  -16910.392  -11520.456   -6599.177   -93066.78
      0.908  130000.325  -22975.373  -10726.013   -8965.999   -97347.28
       0.91  130000.332  -29196.049   -9924.715   -11393.58  -101408.83
      0.912  130000.338   -35542.57   -9110.562   -13870.27   -105242.8
      0.914  130000.345   -41984.37   -8278.032  -16384.145  -108841.67
      0.916  130000.351   -48490.38   -7422.125  -18923.077  -112199.04
      0.918  130000.356   -55029.17   -6538.386  -21474.797   -115309.7
       0.92  130000.361    -61569.1   -5622.944  -24026.966  -118169.66
      0.922  130000.367    -68077.8   -4672.813  -26566.945  -120774.75
      0.924  130000.371   -74521.53   -3686.203  -29081.571  -123119.17
      0.926  130000.376   -80866.15  -2662.2548  -31557.521  -125197.03
      0.928   130000.38   -87078.08  -1600.7655   -33981.69  -127003.72
       0.93  130000.384   -93124.46  -502.19826   -36341.25  -128536.03
      0.932  130000.387   -98973.38   632.31416   -38623.76  -129792.08
      0.934  130000.391  -104593.98  1800.60933   -40817.16  -130000.04
      0.936  130000.394  -109956.69  2999.17338   -42909.93  -130000.04
      0.938  130000.396  -115033.39  4223.67913   -44891.08  -130000.04
       0.94  130000.399  -119797.51  5469.59303   -46750.25  -130000.04
      0.942  130000.401  -124223.42  6731.95495   -48477.43    -129922.
      0.944  130000.402   -128285.8  8004.94131   -50062.75   -129588.4
      0.946  130000.404    -130000.  9281.98624   -51497.63  -129000.45
      0.948  130000.405  -130000.01  10556.0293   -52776.64  -128160.58
       0.95  130000.405  -130000.01  11819.5506     -53897.  -127072.39
      0.952  130000.406  -130000.01  13064.6093   -54856.87  -125740.61
      0.954  129938.259  -130000.01  14282.9236   -55654.59   -124171.1
      0.956  129510.316  -130000.01  15466.1866   -56288.65  -122371.07
      0.958  128715.216  -130000.02  16606.5378   -56757.75   -120349.3
       0.96  127555.033  -130000.02  17696.8046   -57060.74  -118116.33
      0.962  126032.878  -130000.02  18730.2601   -57196.37   -115682.9
      0.964  124150.486  -129914.56  19700.3781   -57163.02  -113058.45
      0.966  121910.585   -129392.3  20601.1595   -56959.22  -110252.55
      0.968  119319.256  -128431.49  21427.4538   -56584.26  -107276.19
       0.97  116385.879  -127032.81  22174.9861   -56038.44  -104141.74
      0.972  113123.043  -125199.37  22840.3749   -55322.95  -100862.88
      0.974  109546.433  -122936.69  23421.1396   -54439.95   -97454.46
      0.976  105674.685  -120252.68  23915.7002   -53392.53   -93932.45
      0.978  101529.209  -117157.59  24323.3664   -52184.69   -90313.76
       0.98   97133.992  -113663.92  24644.3187   -50821.31   -86616.16
      0.982   92513.348  -109785.78  24879.3377   -49307.89    -82856.9
      0.984   87689.661  -105538.06  25029.5294   -47650.24    -79051.4
      0.986   82685.207  -100937.11  25096.5356   -45854.75    -75214.3
      0.988   77523.971    -96001.2   25082.742   -43928.54   -71360.61
       0.99   72231.421   -90750.47  24991.2358   -41879.47   -67505.58
      0.992   66834.272    -85206.8  24825.7572   -39716.09   -63664.57
      0.994   61360.237   -79393.72  24590.6456   -37447.57   -59852.93
      0.996   55837.764   -73336.22  24290.7805   -35083.67   -56085.91
      0.998    50295.77   -67060.66  23931.5182   -32634.67   -52378.49
         1.   44763.374   -60594.62  23518.6248  -30111.337   -48745.31
