 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 FUNCTION  disp-3-x:  Joint 3  Displacement  UX    
 FUNCTION  disp-3-y:  Joint 3  Displacement  UY    
 FUNCTION  shear22-3-0:  Frame 3  Station 1  Shear 2-2    
 FUNCTION  shear33-3-0:  Frame 3  Station 1  Shear 3-3    
 FUNCTION  moment22-3-0:  Frame 3  Station 1  Moment 2-2    
 FUNCTION  moment33-3-0:  Frame 3  Station 1  Moment 3-3    
 FUNCTION  moment22-3-1:  Frame 3  Station 3  Moment 2-2    
 FUNCTION  moment33-3-1:  Frame 3  Station 3  Moment 3-3    
 FUNCTION  shear22-3-1:  Frame 3  Station 3  Shear 2-2    
 FUNCTION  shear33-3-1:  Frame 3  Station 3  Shear 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-x    disp-3-x    disp-3-y shear22-3-0 shear33-3-0 moment22-3-0 moment33-3-0 moment22-3-1 moment33-3-1 shear22-3-1 shear33-3-1
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
      0.062     0.00216     0.00209   3.720E-04  6947.71166    36.23815     53.8747  9419.39076   -54.83974  -11423.744  6947.71166    36.23815
      0.064     0.00237     0.00229   4.092E-04  7436.90851      39.746    59.14592  10153.6789   -60.09208  -12157.047  7436.90851      39.746
      0.066     0.00259     0.00251   4.487E-04  7937.01121    43.46223    64.73509  10915.1604   -65.65158  -12895.873  7937.01121    43.46223
      0.068     0.00282     0.00275   4.904E-04  8443.99469    47.37543    70.62629  11699.0674   -71.49999  -13632.917  8443.99469    47.37543
       0.07     0.00306     0.00299   5.343E-04  8952.08146    51.47867    76.81068  12497.6133   -77.62534  -14358.631  8952.08146    51.47867
      0.072     0.00331     0.00325   5.804E-04  9456.06403     55.7706    83.28801  13303.6961   -84.02378  -15064.496  9456.06403     55.7706
      0.074     0.00358     0.00351   6.288E-04  9953.55148    60.25439    90.06479   14114.503   -90.69837  -15746.152  9953.55148    60.25439
      0.076     0.00386     0.00379   6.795E-04  10444.9861    64.93531    97.15025   14931.529   -97.65568  -16403.429  10444.9861    64.93531
      0.078     0.00415     0.00407   7.327E-04   10931.528    69.81773   104.55149  15757.1729  -104.90169  -17037.411   10931.528    69.81773
       0.08     0.00444     0.00437   7.882E-04  11412.9197    74.90259   112.26953  16591.3215  -112.43823  -17647.438  11412.9197    74.90259
      0.082     0.00474     0.00468   8.461E-04  11887.4536    80.19031   120.30385  17431.0818  -120.26707  -18231.279  11887.4536    80.19031
      0.084     0.00506     0.00499   9.065E-04  12353.6453    85.68465    128.6586  18273.2082  -128.39534  -18787.728  12353.6453    85.68465
      0.086     0.00538     0.00532   9.692E-04  12811.8124    91.38878   137.33707  19116.8117  -136.82927  -19318.625  12811.8124    91.38878
      0.088     0.00572     0.00565     0.00103  13265.2144    97.30281   146.33824  19965.4051   -145.5702  -19830.238  13265.2144    97.30281
       0.09     0.00608       0.006      0.0011  13720.0292   103.42681   155.66148  20826.9318  -154.61897  -20333.156  13720.0292   103.42681
      0.092     0.00643     0.00635     0.00117  14183.2367   109.76383    165.3109  21710.4609  -163.98058  -20839.249  14183.2367   109.76383
      0.094      0.0068     0.00672     0.00124  14659.6482   116.32125   175.29722  22621.4774  -173.66652  -21357.467  14659.6482   116.32125
      0.096     0.00717      0.0071     0.00132  15150.7214    123.1102   185.63656  23560.0128  -183.69404  -21892.151  15150.7214    123.1102
      0.098     0.00755     0.00748      0.0014  15656.5038   130.14351   196.34733  24523.8057  -194.08321  -22445.706  15656.5038   130.14351
        0.1     0.00795     0.00788     0.00148  16178.8952   137.43323   207.44653  25513.5855  -204.85314    -23023.1  16178.8952   137.43323
      0.102     0.00836     0.00828     0.00156  16722.7224   144.98513    218.9416  26535.0271  -216.01379   -23633.14  16722.7224   144.98513
      0.104     0.00878     0.00869     0.00165  17293.7867   152.79519   230.82498  27595.8448   -227.5606  -24285.515  17293.7867   152.79519
      0.106      0.0092     0.00912     0.00173  17896.2129   160.85583   243.08377  28701.3853  -239.48374  -24987.253  17896.2129   160.85583
      0.108     0.00963     0.00955     0.00183  18530.8121   169.16278   255.71018  29851.8558  -251.77815   -25740.58  18530.8121   169.16278
       0.11     0.01006        0.01     0.00192  19195.2945   177.71689   268.70464   31042.675  -264.44604  -26543.209  19195.2945   177.71689
      0.112     0.01051     0.01045     0.00202   19886.408   186.52385   282.07541   32267.859  -277.49613  -27391.365   19886.408   186.52385
      0.114     0.01097      0.0109     0.00211  20602.7146   195.59165   295.83508   33524.442  -290.93988  -28283.702  20602.7146   195.59165
      0.116     0.01144     0.01136     0.00222  21346.0573   204.92695   309.99469   34814.856  -304.78616  -29223.316  21346.0573   204.92695
      0.118     0.01191     0.01183     0.00232  22120.2425   214.53161   324.55824   36144.886  -319.03661  -30215.841  22120.2425   214.53161
       0.12     0.01239     0.01231     0.00243  22927.6076   224.40126   339.51984   37518.217  -333.68393  -31264.606  22927.6076   224.40126
      0.122     0.01287      0.0128     0.00254   23766.134   234.52466    354.8626   38931.926  -348.71137   -32366.48   23766.134   234.52466
      0.124     0.01335     0.01329     0.00265  24629.7332    244.8858   370.56172   40377.049  -364.09569   -33512.15  24629.7332    244.8858
      0.126     0.01384     0.01378     0.00277  25511.5682   255.47104   386.59574   41843.755  -379.81737   -34690.95  25511.5682   255.47104
      0.128     0.01434     0.01428     0.00288  26407.2061   266.27451   402.95533   43326.219   -395.8682    -35895.4  26407.2061   266.27451
       0.13     0.01484     0.01477       0.003  27315.2066    277.2982   419.64369   44823.467   -412.2509   -37122.15  27315.2066    277.2982
      0.132     0.01534     0.01527     0.00312  28235.4382   288.54865   436.67172   46336.651  -428.97424   -38369.66  28235.4382   288.54865
      0.134     0.01584     0.01578     0.00325  29166.6396   300.03212   454.05041   47865.171  -446.04596   -39634.75  29166.6396   300.03212
      0.136     0.01634     0.01628     0.00338  30104.6971   311.74986   471.78349   49403.938   -463.4661   -40910.15  30104.6971   311.74986
      0.138     0.01684     0.01679     0.00351  31042.6922   323.69522   489.86271   50943.411  -481.22294   -42184.67  31042.6922   323.69522
       0.14     0.01734      0.0173     0.00364   31973.062   335.85343   508.26735   52472.996  -499.29295   -43446.19   31973.062   335.85343
      0.142     0.01785      0.0178     0.00377   32890.996   348.20799   526.97372   53986.256  -517.65027   -44686.73   32890.996   348.20799
      0.144     0.01836      0.0183     0.00391   33796.254   360.74856   545.96698    55483.62  -536.27871   -45905.14   33796.254   360.74856
      0.146     0.01886      0.0188     0.00405   34691.237   373.47139   565.24167   56969.492  -555.17249   -47104.22   34691.237   373.47139
      0.148     0.01936      0.0193     0.00419   35577.334   386.37822   584.79992   58446.575  -574.33475   -48285.43   35577.334   386.37822
       0.15     0.01985     0.01979     0.00433    36452.78   399.47652   604.65192   59912.453  -593.77764   -49445.89    36452.78   399.47652
      0.152     0.02034     0.02029     0.00447   37313.308   412.77679    624.8123   61360.621  -613.51806    -50579.3   37313.308   412.77679
      0.154     0.02083     0.02078     0.00462   38154.669   426.28818   645.29401   62784.471  -633.57053   -51679.54   38154.669   426.28818
      0.156     0.02132     0.02127     0.00477   38975.039   440.01467    666.1029    64181.08  -653.94112   -52744.04   38975.039   440.01467
      0.158     0.02181     0.02175     0.00492   39775.883   453.95375   687.23583   65552.564  -674.62542   -53775.08   39775.883   453.95375
       0.16     0.02229     0.02223     0.00507   40560.794   468.09825   708.68321    66904.27  -695.61154   -54778.11   40560.794   468.09825
      0.162     0.02277      0.0227     0.00523   41332.471   482.43623   730.42826   68240.228  -716.88043   -55757.18   41332.471   482.43623
      0.164     0.02323     0.02318     0.00539   42089.849   496.95176   752.44767    69558.81  -738.40761   -56710.74   42089.849   496.95176
      0.166     0.02369     0.02365     0.00555   42828.138   511.63319   774.72394   70852.562  -760.17564   -57631.85   42828.138   511.63319
      0.168     0.02415     0.02411     0.00571   43541.639   526.47903   797.25432   72112.479  -782.18277   -58512.44   43541.639   526.47903
       0.17      0.0246     0.02456     0.00588   44227.167   541.49622   820.04856   73333.452  -804.44009   -59348.05   44227.167   541.49622
      0.172     0.02505       0.025     0.00604   44885.601   556.69543   843.12205   74516.726  -826.96423   -60140.08   44885.601   556.69543
      0.174     0.02549     0.02544     0.00621   45520.295   572.08502   866.48685    75667.35  -849.76822   -60893.54   45520.295   572.08502
      0.176     0.02592     0.02587     0.00638   46133.799   587.66579   890.14369   76788.934  -872.85367   -61612.46   46133.799   587.66579
      0.178     0.02633     0.02629     0.00655   46725.551   603.42846   914.07825   77879.993  -896.20712   -62296.66   46725.551   603.42846
       0.18     0.02673      0.0267     0.00673    47292.19   619.35535   938.26361   78934.458  -919.80245   -62942.11    47292.19   619.35535
      0.182     0.02713      0.0271      0.0069   47830.238   635.42743   962.67097   79945.856  -943.61131   -63544.86   47830.238   635.42743
      0.184     0.02752     0.02748     0.00708   48339.148   651.63236   987.28195   80912.065  -967.61512   -64105.38   48339.148   651.63236
      0.186      0.0279     0.02786     0.00726   48822.386   667.96686  1012.09181   81837.178  -991.80875   -64629.98   48822.386   667.96686
      0.188     0.02826     0.02822     0.00744   49285.864   684.43545  1037.10731   82729.184   -1016.199   -65128.41   49285.864   684.43545
       0.19     0.02861     0.02857     0.00762   49734.642   701.04796  1062.34254   83594.749  -1040.8013   -65609.18   49734.642   701.04796
      0.192     0.02895     0.02891      0.0078   50170.064   717.81506  1087.81209   84434.669  -1065.6331   -66075.52   50170.064   717.81506
      0.194     0.02927     0.02924     0.00799   50589.756   734.74357  1113.52425   85243.869  -1090.7065    -66525.4   50589.756   734.74357
      0.196     0.02958     0.02955     0.00818   50990.691   751.83345  1139.47691   86016.276  -1116.0234    -66955.8   50990.691   751.83345
      0.198     0.02988     0.02985     0.00837   51372.769   769.07732  1165.65746   86750.557  -1141.5745   -67367.75   51372.769   769.07732
        0.2     0.03017     0.03013     0.00856    51739.87   786.46278  1192.04657   87451.779  -1167.3418   -67767.83    51739.87   786.46278
      0.202     0.03044      0.0304     0.00875   52097.622   803.97723  1218.62537   88127.854  -1193.3063   -68165.01   52097.622   803.97723
      0.204     0.03069     0.03066     0.00894   52408.905   812.33446  1226.63068   88695.335  -1210.3727   -68531.38   52408.905   812.33446
      0.206     0.03093      0.0309     0.00913   52583.218     790.743   1174.0041   88955.987  -1198.2249   -68793.67   52583.218     790.743
      0.208     0.03115     0.03113     0.00933    52755.43   770.52705  1124.09604   89203.263  -1187.4851   -69063.03    52755.43   770.52705
       0.21     0.03136     0.03134     0.00952   52923.869   751.99861  1077.53671   89434.574  -1178.4591   -69337.03   52923.869   751.99861
      0.212     0.03156     0.03153     0.00972   53088.215   735.21253  1034.42433   89648.915  -1171.2133   -69615.73   53088.215   735.21253
      0.214     0.03174     0.03171     0.00992   53249.955   719.97471   994.36387   89848.084  -1165.5603   -69901.78   53249.955   719.97471
      0.216     0.03191     0.03187     0.01012   53411.131   705.88789    956.5495   90034.535  -1161.1142   -70198.86   53411.131   705.88789
      0.218     0.03206     0.03202     0.01032   53572.418    692.6851   920.43944   90209.096  -1157.6159   -70508.16   53572.418    692.6851
       0.22     0.03218     0.03216     0.01053   53731.938   680.48443    886.2732   90369.693  -1155.1801   -70826.12   53731.938   680.48443
      0.222     0.03229     0.03228     0.01073   53885.569   669.70097   854.89319   90511.726  -1154.2097   -71144.98   53885.569   669.70097
      0.224     0.03239     0.03238     0.01094   54028.964   660.81211   827.27183   90630.879  -1155.1645   -71456.01   54028.964   660.81211
      0.226     0.03248     0.03246     0.01114   54159.596    654.1148   804.01783   90725.558  -1158.3266   -71753.23   54159.596    654.1148
