 
 SAP2000 v24.1.0 File: 3D-2SIDE-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-x:  Joint 1  Displacement  UX    
 FUNCTION  disp-3-x:  Joint 3  Displacement  UX    
 FUNCTION  disp-3-y:  Joint 3  Displacement  UY    
 FUNCTION  shear22-3-0:  Frame 3  Station 1  Shear 2-2    
 FUNCTION  shear33-3-0:  Frame 3  Station 1  Shear 3-3    
 FUNCTION  moment22-3-0:  Frame 3  Station 1  Moment 2-2    
 FUNCTION  moment33-3-0:  Frame 3  Station 1  Moment 3-3    
 FUNCTION  moment22-3-1:  Frame 3  Station 3  Moment 2-2    
 FUNCTION  moment33-3-1:  Frame 3  Station 3  Moment 3-3    
 FUNCTION  shear22-3-1:  Frame 3  Station 3  Shear 2-2    
 FUNCTION  shear33-3-1:  Frame 3  Station 3  Shear 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-x    disp-3-x    disp-3-y shear22-3-0 shear33-3-0 moment22-3-0 moment33-3-0 moment22-3-1 moment33-3-1 shear22-3-1 shear33-3-1
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
      0.344     0.00108     0.00109     0.02235   430.60247  1594.45707  2165.92641  -733.96799  -2617.4448  -2025.7754   430.60247  1594.45707
      0.346   6.367E-05   8.361E-05     0.02249  -1284.3838  1607.52038  2185.52313    -3639.37   -2637.038   213.78176  -1284.3838  1607.52038
      0.348  -9.552E-04  -9.242E-04     0.02262  -3027.4126  1620.36506  2204.80349   -6576.815  -2656.2917  2505.42307  -3027.4126  1620.36506
       0.35    -0.00197    -0.00194     0.02276   -4802.865  1632.98655  2223.75808   -9553.059  -2675.2016  4855.53483   -4802.865  1632.98655
      0.352    -0.00298    -0.00296     0.02289   -6610.701  1645.37576  2242.36961  -12568.007  -2693.7577  7264.09581   -6610.701  1645.37576
      0.354      -0.004    -0.00398     0.02302   -8445.861  1657.52168  2260.61793  -15613.847  -2711.9471  9723.73715   -8445.861  1657.52168
      0.356    -0.00501      -0.005     0.02314  -10300.867  1669.41501  2278.48653  -18679.236  -2729.7585  12223.3659  -10300.867  1669.41501
      0.358    -0.00603    -0.00602     0.02327  -12169.688  1681.05083  2295.96699  -21755.445  -2747.1855  14753.6186  -12169.688  1681.05083
       0.36    -0.00706    -0.00703     0.02339  -14050.387  1692.42894  2313.05966  -24840.563  -2764.2272   17310.598  -14050.387  1692.42894
      0.362    -0.00809    -0.00805      0.0235  -15944.452  1703.55316   2329.7722  -27938.491  -2780.8873  19894.8663  -15944.452  1703.55316
      0.364    -0.00911    -0.00907     0.02362  -17852.864  1714.42894  2346.11541  -31052.693  -2797.1714  22505.8977  -17852.864  1714.42894
      0.366    -0.01012    -0.01009     0.02373  -19771.895   1725.0583  2362.09479   -34179.32  -2813.0801  25136.3651  -19771.895   1725.0583
      0.368    -0.01112     -0.0111     0.02384  -21692.287  1735.43674  2377.70475   -37305.69  -2828.6055  27771.1736  -21692.287  1735.43674
       0.37    -0.01213    -0.01212     0.02395  -23602.941  1745.55432  2392.92959   -40416.09  -2843.7334   30392.728  -23602.941  1745.55432
      0.372    -0.01314    -0.01312     0.02406  -25496.231  1755.39965  2407.74918   -43500.27  -2858.4498   32988.425  -25496.231  1755.39965
      0.374    -0.01415    -0.01412     0.02416   -27370.38  1764.96487  2422.14703   -46557.14  -2872.7476   35554.004   -27370.38  1764.96487
      0.376    -0.01515    -0.01511     0.02426  -29227.164  1774.24948  2436.11732   -49591.16  -2886.6311   38090.329  -29227.164  1774.24948
      0.378    -0.01614     -0.0161     0.02435   -31067.24  1783.26112  2449.66745   -52604.94  -2900.1159   40596.779   -31067.24  1783.26112
       0.38    -0.01712    -0.01709     0.02444   -32886.81  1792.01251  2462.81468   -55593.95  -2913.2229   43066.482   -32886.81  1792.01251
      0.382    -0.01809    -0.01807     0.02453    -34677.1  1800.52198  2475.58718   -58546.05  -2925.9788    45485.26    -34677.1  1800.52198
      0.384    -0.01905    -0.01904     0.02462    -36426.9  1808.81217  2488.02164   -61445.78  -2938.4149   47834.901    -36426.9  1808.81217
      0.386    -0.02001       -0.02     0.02471   -38127.01  1816.89708  2500.14238   -64281.04  -2950.5489   50099.981   -38127.01  1816.89708
      0.388    -0.02096    -0.02094     0.02479   -39773.09  1824.77373  2511.94737   -67047.05  -2962.3738   52272.218   -39773.09  1824.77373
       0.39     -0.0219    -0.02187     0.02487   -41364.51  1832.42677  2523.41422   -69744.49  -2973.8661   54349.022   -41364.51  1832.42677
      0.392    -0.02282     -0.0228     0.02495    -42900.8  1839.83806  2534.51441   -72373.82  -2984.9998   56328.576    -42900.8  1839.83806
      0.394    -0.02372    -0.02371     0.02502   -44378.59  1846.99748  2545.22985   -74930.27  -2995.7626   58205.491   -44378.59  1846.99748
      0.396    -0.02461     -0.0246      0.0251   -45791.47   1853.9107   2555.5654   -77403.76  -3006.1667   59970.668   -45791.47   1853.9107
      0.398    -0.02548    -0.02548     0.02516   -47133.05  1860.60105  2565.55261   -79783.72  -3016.2505   61615.427   -47133.05  1860.60105
        0.4    -0.02633    -0.02633     0.02523   -48358.87  1857.70602  2556.24825   -81975.02  -3016.8698   63101.594   -48358.87  1857.70602
      0.402    -0.02717    -0.02717      0.0253   -49053.99  1749.99354  2335.05368   -83073.18  -2914.9269   64088.789   -49053.99  1749.99354
      0.404      -0.028    -0.02798     0.02536   -49707.16  1646.57311  2122.58982   -84129.49  -2817.1295   64992.003   -49707.16  1646.57311
      0.406     -0.0288    -0.02878     0.02542   -50326.11  1546.73563  1917.41101   -85149.57  -2722.7959   65828.759   -50326.11  1546.73563
      0.408    -0.02957    -0.02956     0.02548   -50916.88  1450.05776  1718.67907   -86137.61  -2631.4942   66613.017   -50916.88  1450.05776
       0.41    -0.03033    -0.03032     0.02554   -51483.72  1356.31688  1525.97425   -87095.68  -2542.9764    67355.49   -51483.72  1356.31688
      0.412    -0.03107    -0.03106     0.02559   -52030.12  1265.37895  1339.06043   -88024.96  -2457.0764   68065.413   -52030.12  1265.37895
      0.414    -0.03179    -0.03178     0.02564   -52560.23  1177.03235  1157.53869   -88927.43  -2373.5584   68753.253   -52560.23  1177.03235
      0.416     -0.0325    -0.03248     0.02569   -53081.87  1090.62692   980.26634   -89808.78  -2291.6144   69436.825   -53081.87  1090.62692
      0.418    -0.03318    -0.03316     0.02574   -53607.12  1004.99048   805.25683   -90678.87  -2209.7146   70142.501   -53607.12  1004.99048
       0.42    -0.03385    -0.03382     0.02579   -54136.76   920.31732   632.32309   -91538.65  -2128.6289   70871.639   -54136.76   920.31732
      0.422    -0.03449    -0.03447     0.02583   -54676.18   836.23081   460.68219   -92391.99  -2048.0102   71636.536   -54676.18   836.23081
      0.424    -0.03511     -0.0351     0.02587   -55230.01   752.70435   289.99941   -93240.58  -1968.1136   72449.462   -55230.01   752.70435
      0.426    -0.03571     -0.0357     0.02591   -55799.68   669.83335   120.38973   -94083.83  -1889.1103   73315.216   -55799.68   669.83335
      0.428     -0.0363    -0.03629     0.02594   -56308.44   603.48016   -15.72363   -94758.64  -1826.1641   74166.673   -56308.44   603.48016
       0.43    -0.03687    -0.03685     0.02597   -56917.62   689.40778   156.15498   -95613.17  -1912.0684   75139.682   -56917.62   689.40778
      0.432    -0.03743     -0.0374     0.02601   -57514.04   611.82313    -2.45279   -96401.26  -1837.9222   76140.851   -57514.04   611.82313
      0.434    -0.03796    -0.03793     0.02603   -58154.21   696.62624    167.4087   -97245.76    -1922.47   77216.883   -58154.21   696.62624
      0.436    -0.03846    -0.03844     0.02606   -58794.43   616.83434     4.63688   -98054.87  -1845.8661   78328.415   -58794.43   616.83434
      0.438    -0.03895    -0.03893     0.02608   -59459.42   700.18579   171.87844   -98886.35  -1928.6789   79491.902   -59459.42   700.18579
       0.44    -0.03942     -0.0394      0.0261   -60116.66   619.04563     6.70451   -99675.54  -1850.4324   80674.431   -60116.66   619.04563
      0.442    -0.03987    -0.03985     0.02612   -60410.44    620.4917     8.62446   -99656.45  -1852.8506   81574.879   -60410.44    620.4917
      0.444    -0.04031    -0.04028     0.02614    -61083.6    699.1838   166.86792  -100443.19  -1930.6835    82807.61    -61083.6    699.1838
      0.446    -0.04072    -0.04069     0.02615    -61684.4   609.14741    -15.9808  -101060.75   -1843.423   83992.455    -61684.4   609.14741
      0.448    -0.04112    -0.04109     0.02616    -61882.7    622.7447    10.80309  -100917.77   -1857.431   84730.335    -61882.7    622.7447
       0.45    -0.04148    -0.04146     0.02617   -62163.62   628.92716    58.04429  -101150.17  -1828.7372   85340.676   -62163.62   628.92716
      0.452    -0.04183    -0.04181     0.02618   -62411.62   575.47036     9.21696  -101372.53  -1717.1941   85862.328   -62411.62   575.47036
      0.454    -0.04216    -0.04214     0.02618   -62555.94   543.26561     6.71084  -101356.58   -1623.086   86311.231   -62555.94   543.26561
      0.456    -0.04247    -0.04245     0.02619   -62698.91   513.32182     7.33258  -101343.78  -1532.6329    86752.94   -62698.91   513.32182
      0.458    -0.04276    -0.04274     0.02619    -62841.9   484.08004     7.27813  -101340.62   -1444.962   87185.079    -62841.9   484.08004
       0.46    -0.04303    -0.04301     0.02619   -62976.43   455.94071     7.44399  -101331.02  -1360.3781   87598.258   -62976.43   455.94071
      0.462    -0.04328    -0.04325     0.02619   -63103.47   428.06362     5.97407  -101321.16  -1278.2168   87989.265   -63103.47   428.06362
      0.464     -0.0435    -0.04348     0.02618   -63210.41   403.16159      8.7149  -101287.56  -1200.7699   88343.659   -63210.41   403.16159
      0.466     -0.0437    -0.04369     0.02618     -63311.    376.4803     3.53648  -101259.47  -1125.9044   88673.517     -63311.    376.4803
      0.468    -0.04387    -0.04387     0.02617   -63382.33   356.99988     9.78119  -101200.21  -1061.2185   88946.763   -63382.33   356.99988
       0.47    -0.04403    -0.04402     0.02616   -63452.55   335.28353     3.21515  -101165.64  -1002.6354   89192.024   -63452.55   335.28353
      0.472    -0.04417    -0.04416     0.02615   -63496.53   322.71946     9.49121  -101113.97  -958.66717   89375.609   -63496.53   322.71946
      0.474    -0.04428    -0.04427     0.02614   -63543.84   309.75859     6.22669  -101096.48  -923.04909   89535.055   -63543.84   309.75859
      0.476    -0.04437    -0.04435     0.02613   -63577.86   302.80658     8.01547  -101085.93  -900.40428   89647.638   -63577.86   302.80658
      0.478    -0.04443    -0.04442     0.02612   -63602.13   299.33034    10.17531  -101096.16  -887.81569   89710.225   -63602.13   299.33034
       0.48    -0.04446    -0.04446      0.0261   -63609.36   295.74287     5.72301  -101117.93  -881.50561   89710.146   -63609.36   295.74287
      0.482    -0.04447    -0.04447     0.02609   -63567.26   293.95164     1.98199  -101099.33  -879.87294   89602.437   -63567.26   293.95164
      0.484    -0.04446    -0.04446     0.02607   -63424.88   293.32819     0.63922  -100942.63  -879.34534   89332.017   -63424.88   293.32819
      0.486    -0.04444    -0.04442     0.02606    -63192.9   292.59133    -0.86181  -100666.01   -878.6358   88912.699    -63192.9   292.59133
      0.488    -0.04438    -0.04436     0.02604    -62880.7   291.71082    -2.56473  -100281.46   -877.6972   88360.629    -62880.7   291.71082
       0.49     -0.0443    -0.04428     0.02602   -62499.63   290.68178     -4.4827   -99803.22  -876.52803   87695.667   -62499.63   290.68178
      0.492     -0.0442    -0.04418       0.026   -62059.89   289.55818    -6.56243   -99242.72  -875.23697   86936.954   -62059.89   289.55818
      0.494    -0.04407    -0.04406     0.02598   -61567.37    288.3771    -8.76029   -98604.43   -873.8916   86097.676   -61567.37    288.3771
      0.496    -0.04392    -0.04391     0.02596   -61026.03   287.17656   -11.02766   -97889.79  -872.55735   85188.291   -61026.03   287.17656
      0.498    -0.04375    -0.04374     0.02593   -60442.16   285.97574   -13.33568   -97104.39   -871.2629   84222.083   -60442.16   285.97574
        0.5    -0.04357    -0.04355     0.02591   -59826.18   284.76311   -15.69219   -96261.03  -869.98153    83217.52   -59826.18   284.76311
      0.502    -0.04337    -0.04334     0.02589   -59189.08   283.50334   -18.13325   -95374.39  -868.64326   82192.866   -59189.08   283.50334
      0.504    -0.04314    -0.04311     0.02586   -58537.29   282.15374   -20.70239   -94453.11   -867.1636   81158.774   -58537.29   282.15374
      0.506    -0.04288    -0.04286     0.02583   -57871.66   280.67007   -23.44748   -93497.45  -865.45771   80117.534   -57871.66   280.67007
      0.508     -0.0426     -0.0426     0.02581   -57189.65   279.01579   -26.41198   -92502.07  -863.45934   79066.884   -57189.65   279.01579
       0.51    -0.04231    -0.04231     0.02578   -56488.45   277.17826    -29.6136   -91460.75   -861.1484   78004.588   -56488.45   277.17826
      0.512      -0.042      -0.042     0.02575   -55768.39   275.17697   -33.03232   -90371.84  -858.56323   76933.336   -55768.39   275.17697
      0.514    -0.04168    -0.04167     0.02572   -55035.22   273.05993   -36.61256   -89242.07  -855.79234     75863.6   -55035.22   273.05993
      0.516    -0.04133    -0.04131     0.02568   -54298.59    270.8898   -40.27874   -88084.69  -852.94813   74811.079   -54298.59    270.8898
      0.518    -0.04095    -0.04094     0.02565   -53566.37   268.72475   -43.95774   -86910.79  -850.13201   73788.332   -53566.37   268.72475
       0.52    -0.04055    -0.04055     0.02562   -52839.03   266.60072   -47.60077   -85720.51  -847.40294   72796.589   -52839.03   266.60072
      0.522    -0.04013    -0.04014     0.02559   -52109.78   264.51774   -51.20195   -84503.24  -844.75516   71826.092   -52109.78   264.51774
      0.524    -0.03969     -0.0397     0.02556   -51370.68   262.43796   -54.80308   -83247.13  -842.11696   70864.913   -51370.68   262.43796
      0.526    -0.03923    -0.03924     0.02552   -50618.58   260.30251   -58.47288   -81948.45  -839.38042   69907.271   -50618.58   260.30251
      0.528    -0.03876    -0.03876     0.02549   -49855.99   258.05559   -62.27665   -80612.82  -836.44342   68955.137   -49855.99   258.05559
       0.53    -0.03827    -0.03825     0.02546   -49087.66   255.66467   -66.25134   -79249.25  -833.24533   68013.715   -49087.66   255.66467
      0.532    -0.03775    -0.03774     0.02542   -48316.21   253.13055   -70.39273   -77863.02  -829.78438   67085.621   -48316.21   253.13055
      0.534     -0.0372     -0.0372     0.02539   -47539.44   250.49725   -74.64625   -76451.61  -826.13802   66166.723   -47539.44   250.49725
      0.536    -0.03663    -0.03665     0.02536   -46751.81   247.81585   -78.94713   -75006.65  -822.39467   65248.787   -46751.81   247.81585
      0.538    -0.03605    -0.03607     0.02532   -45946.15   245.15602    -83.2143   -73517.67  -818.68235    64320.79   -45946.15   245.15602
       0.54    -0.03546    -0.03547     0.02529   -45119.27   242.55982   -87.40096   -71980.53  -815.08042   63377.271   -45119.27   242.55982
      0.542    -0.03486    -0.03485     0.02526   -44273.71   240.02415    -91.5134   -70400.74  -811.58585   62420.382   -44273.71   240.02415
      0.544    -0.03423    -0.03421     0.02522   -43413.04   237.55329   -95.55632   -68786.97  -808.21618   61452.144   -43413.04   237.55329
      0.546    -0.03358    -0.03357     0.02519   -42538.08   235.08058   -99.60688   -67143.32  -804.84862    60470.92   -42538.08   235.08058
      0.548     -0.0329     -0.0329     0.02516   -41640.38   232.57532  -103.70328   -65460.33  -801.42925   59460.811   -41640.38   232.57532
       0.55    -0.03221    -0.03222     0.02512   -40707.45   229.99248  -107.89177   -63721.67  -797.86922   58400.683   -40707.45   229.99248
      0.552    -0.03151    -0.03152     0.02509   -39728.72     227.317  -112.18153   -61913.89  -794.13254   57272.279   -39728.72     227.317
      0.554     -0.0308    -0.03081     0.02505   -38700.58   224.56266  -116.54759     -60034.  -790.23558   56067.747   -38700.58   224.56266
      0.556    -0.03008    -0.03007     0.02502    -37625.9    221.7669  -120.94009   -58088.44  -786.24078   54789.253    -37625.9    221.7669
      0.558    -0.02934    -0.02932     0.02499   -36509.97   218.97737  -125.30251   -56086.78  -782.23461   53443.143   -36509.97   218.97737
       0.56    -0.02858    -0.02857     0.02495   -35356.16   216.23558  -129.59177   -54034.91  -778.29852   52033.576   -35356.16   216.23558
      0.562     -0.0278     -0.0278     0.02492   -34162.43   213.56616  -133.78859   -51930.28  -774.48707   50556.998   -34162.43   213.56616
      0.564      -0.027    -0.02702     0.02489    -32921.9   210.97376  -137.89697    -49762.9  -770.81825   49002.786    -32921.9   210.97376
      0.566     -0.0262    -0.02622     0.02486   -31626.92   208.44417  -141.93947   -47521.92  -767.27197   47358.838   -31626.92   208.44417
      0.568     -0.0254     -0.0254     0.02483  -30274.472   205.95099  -145.94696   -45204.15  -763.79994   45619.263  -30274.472   205.95099
       0.57    -0.02458    -0.02457     0.02479  -28867.754   203.46606  -149.94558    -42816.5  -760.34376   43786.767  -28867.754   203.46606
      0.572    -0.02375    -0.02374     0.02476  -27412.263   200.96798  -153.94847    -40369.3   -756.8524   41867.488  -27412.263   200.96798
      0.574     -0.0229    -0.02289     0.02473  -25910.136   198.44723   -157.9536   -37866.94   -753.2953   39863.465  -25910.136   198.44723
      0.576    -0.02204    -0.02204      0.0247  -24358.447   195.90777  -161.94615   -35304.81  -749.66946   37770.537  -24358.447   195.90777
      0.578    -0.02116    -0.02118     0.02467  -22752.903   193.36538  -165.90369   -32675.11  -745.99982   35583.597  -22752.903   193.36538
       0.58    -0.02028     -0.0203     0.02464  -21093.051   190.84334  -169.80231  -29975.313  -742.33234    33303.84  -21093.051   190.84334
      0.582     -0.0194    -0.01941     0.02461   -19385.05   188.36494  -173.62451  -27212.521  -738.71935  30942.6273   -19385.05   188.36494
      0.584    -0.01851    -0.01851     0.02458  -17640.021   185.94611  -177.36452   -24401.36  -735.20284  28518.7027  -17640.021   185.94611
      0.586    -0.01761     -0.0176     0.02456  -15870.318   183.59305   -181.0256  -21558.351  -731.80476  26052.6039  -15870.318   183.59305
      0.588     -0.0167     -0.0167     0.02453  -14084.674   181.30286   -184.6146  -18694.727  -728.52318  23559.2961  -14084.674   181.30286
       0.59    -0.01577    -0.01578      0.0245  -12285.472   179.06481  -188.13854  -15812.148  -725.33297  21044.2678  -12285.472   179.06481
      0.592    -0.01484    -0.01486     0.02448   -10470.28   176.86261  -191.60365   -12904.99  -722.19148  18505.8509   -10470.28   176.86261
      0.594    -0.01391    -0.01393     0.02445   -8637.538   174.67668  -195.01732   -9969.151  -719.04734  15943.4624   -8637.538   174.67668
      0.596    -0.01298    -0.01299     0.02443   -6791.987   172.48659  -198.39085   -7010.461  -715.85063  13365.4988   -6791.987   172.48659
      0.598    -0.01205    -0.01205      0.0244   -4944.814   170.27438  -201.74004    -4044.65  -712.56317  10789.7908   -4944.814   170.27438
        0.6    -0.01111     -0.0111     0.02438  -3108.3919   168.02846  -205.08187  -1088.7811  -709.16725  8236.39466  -3108.3919   168.02846
      0.602    -0.01016    -0.01016     0.02436  -1290.7366   165.74779  -208.42768   1847.5242  -705.67106  5719.73399  -1290.7366   165.74779
      0.604     -0.0092    -0.00921     0.02433   505.59418   163.44374  -211.77673  4763.50689  -702.10795  3246.72434   505.59418   163.44374
      0.606    -0.00824    -0.00827     0.02431  2280.32466   161.13777  -215.11438  7661.80793  -698.52768   820.83395  2280.32466   161.13777
      0.608    -0.00729    -0.00731     0.02429  4032.06483    158.8544   -218.4172  10542.6488  -694.98041  -1553.5457  4032.06483    158.8544
       0.61    -0.00635    -0.00636     0.02427  5755.36876   156.61889  -221.65364   13399.276  -691.51033    -3866.83  5755.36876   156.61889
      0.612     -0.0054     -0.0054     0.02425  7441.69779   154.44275  -224.80091  16218.8066  -688.12916   -6106.287  7441.69779   154.44275
      0.614    -0.00445    -0.00445     0.02423  9083.50225   152.31906   -227.8545  18988.8538  -684.81167   -8261.653  9083.50225   152.31906
      0.616    -0.00349     -0.0035     0.02421   10680.139   150.22106  -230.83471  21707.2654  -681.49787  -10333.152   10680.139   150.22106
      0.618    -0.00254    -0.00256     0.02419  12239.3328   148.10798  -233.78401  24384.9502  -678.10794  -12333.048  12239.3328   148.10798
       0.62    -0.00159    -0.00161     0.02418  13770.3686    145.9381  -236.75352  27035.3634   -674.5678  -14275.743  13770.3686    145.9381
      0.622  -6.503E-04  -6.679E-04     0.02416  15275.2629   143.68106  -239.78839  29660.8131  -670.83157  -16164.976  15275.2629   143.68106
      0.624   2.770E-04   2.751E-04     0.02414  16746.8411   141.32231  -242.92165   32250.028  -666.88857  -17990.495  16746.8411   141.32231
      0.626      0.0012     0.00121     0.02413  18175.1768   138.87873  -246.14701   34787.821  -662.78319   -19737.71  18175.1768   138.87873
      0.628     0.00213     0.00214     0.02411  19553.3779   136.39548   -249.4176   37263.613  -658.60404  -21396.521  19553.3779   136.39548
       0.63     0.00305     0.00305     0.02409  20880.5906   133.92687  -252.66827   39675.695  -654.44889  -22966.077  20880.5906   133.92687
      0.632     0.00397     0.00396     0.02408  22162.8008   131.51337  -255.84529   42032.308  -650.38541  -24456.094  22162.8008   131.51337
      0.634     0.00487     0.00486     0.02406   23408.875    129.1637   -258.9315   44345.371  -646.42259  -25881.254   23408.875    129.1637
      0.636     0.00575     0.00575     0.02405   24623.032   126.84794  -261.95844   46618.504  -642.50226  -27250.592   24623.032   126.84794
      0.638     0.00661     0.00664     0.02403  25802.3396   124.50399  -265.00134   48843.275  -638.51329  -28563.744  25802.3396   124.50399
       0.64     0.00747      0.0075     0.02402  26943.1745   122.05587  -268.15747   51010.055  -634.32507  -29819.469  26943.1745   122.05587
      0.642     0.00833     0.00835       0.024  28048.1512   119.43796  -271.51549   53119.634  -629.82937   -31024.82  28048.1512   119.43796
      0.644     0.00917     0.00918     0.02399  29125.0722    116.6163  -275.12708   55181.845  -624.97598   -32193.37  29125.0722    116.6163
      0.646     0.00999        0.01     0.02397  30181.4109   113.60403  -278.98424   57206.614  -619.79633   -33337.62  30181.4109   113.60403
      0.648     0.01078      0.0108     0.02395  31220.2817   110.45629  -283.02402   59197.445   -614.3929    -34463.4  31220.2817   110.45629
       0.65     0.01155     0.01159     0.02393   32239.092   107.24617    -287.159   61149.039  -608.89752   -35568.24   32239.092   107.24617
      0.652      0.0123     0.01235     0.02391   33230.946   104.03294  -291.31834   63049.025  -603.41717   -36643.81   33230.946   104.03294
      0.654     0.01305     0.01309     0.02389   34190.542   100.83629    -295.481   64886.995  -597.98988   -37684.63   34190.542   100.83629
      0.656     0.01377     0.01381     0.02387   35121.026    97.62656  -299.68806   66665.475  -592.56773    -38697.6   35121.026    97.62656
      0.658     0.01447      0.0145     0.02385   36033.293    94.33364  -304.03102   68398.996  -587.03193   -39700.88   36033.293    94.33364
       0.66     0.01514     0.01518     0.02382   36937.088    90.87031  -308.62202   70100.122  -581.23296   -40711.14   36937.088    90.87031
      0.662     0.01578     0.01583      0.0238   37834.041    87.16203  -313.55602   71768.721  -575.04212    -41733.4   37834.041    87.16203
      0.664     0.01639     0.01645     0.02377   38719.093    83.16901  -318.88197   73394.763  -568.38899   -42762.52   38719.093    83.16901
      0.666     0.01698     0.01705     0.02374   39585.921    78.90161   -324.5857    74967.23  -561.29055   -43790.53   39585.921    78.90161
      0.668     0.01755     0.01761     0.02371   40430.642    74.40679  -330.60731   76479.975  -553.82767   -44811.95   40430.642    74.40679
       0.67     0.01809     0.01814     0.02367   41253.667    69.74815  -336.86916   77934.427  -546.11362   -45826.57   41253.667    69.74815
      0.672      0.0186     0.01865     0.02364   42058.665    64.98452  -343.30651    79337.69  -538.26006   -46838.31   42058.665    64.98452
      0.674     0.01907     0.01913      0.0236   42852.943    60.59121  -349.45147   80699.185   -531.2251   -47859.64   42852.943    60.59121
      0.676     0.01951     0.01958     0.02356   43622.151    56.03819  -355.85364   82001.775  -523.96822   -48864.68   43622.151    56.03819
      0.678     0.01991     0.01999     0.02352    44353.63    51.29678  -362.56664   83226.685  -516.45698    -49834.2    44353.63    51.29678
       0.68     0.02029     0.02037     0.02347    45040.12    46.28548  -369.69353   84362.683  -508.54996   -50757.68    45040.12    46.28548
      0.682     0.02064     0.02072     0.02343   45681.801      40.939  -377.31083   85410.795  -500.12783   -51634.61   45681.801      40.939
      0.684     0.02096     0.02102     0.02337   46284.041    35.23074  -385.44315     86379.7  -491.13538   -52472.42   46284.041    35.23074
      0.686     0.02124      0.0213     0.02332   46667.304     70.3752    -310.712   86880.341  -521.83759   -53121.57   46667.304     70.3752
      0.688     0.02148     0.02155     0.02326    46998.57   107.92301  -230.86283   87277.327  -554.63185   -53718.38    46998.57   107.92301
       0.69     0.02167     0.02176      0.0232   47300.505    140.6804  -160.46693   87627.314  -582.50812    -54274.2   47300.505    140.6804
      0.692     0.02184     0.02194     0.02314   47563.844   167.73365  -101.41254   87920.915  -604.61351   -54770.62   47563.844   167.73365
      0.694     0.02198     0.02207     0.02308   47781.196   188.42919   -55.05746   88151.379  -620.34502   -55192.21   47781.196   188.42919
      0.696     0.02209     0.02216     0.02301   47950.698   202.80107   -21.35189   88318.953  -629.75511   -55533.14   47950.698   202.80107
      0.698     0.02215     0.02222     0.02294   48073.891   211.25872     0.53317   88427.759  -633.24298   -55793.91   48073.891   211.25872
        0.7     0.02217     0.02225     0.02286   48150.517   213.89432    10.80121   88478.808  -630.88176   -55972.74   48150.517   213.89432
      0.702     0.02215     0.02224     0.02278    48190.77   206.76074     1.49284   88497.928   -618.7894   -56074.38    48190.77   206.76074
      0.704     0.02209     0.02219      0.0227   48156.202   197.83734   -11.25072   88405.136  -604.76275   -56063.47   48156.202   197.83734
      0.706       0.022      0.0221     0.02261   48036.664   188.38893   -24.86305   88179.085  -590.02986   -55930.91   48036.664   188.38893
      0.708     0.02188     0.02197     0.02252   47832.403   178.55714   -39.01277   87819.381  -574.68419   -55677.83   47832.403   178.55714
       0.71     0.02173      0.0218     0.02242    47550.18    168.3326   -53.70863    87336.46  -558.70643   -55314.08    47550.18    168.3326
      0.712     0.02152      0.0216     0.02233   47197.155   157.70478   -68.97279    86742.24  -542.08713   -54849.22   47197.155   157.70478
      0.714     0.02128     0.02136     0.02222   46773.693   146.67175   -84.82733   86038.359  -524.84257   -54282.72   46773.693   146.67175
      0.716     0.02099     0.02109     0.02212   46271.243   135.24301  -101.28413   85212.361  -507.01315   -53601.37   46271.243   135.24301
      0.718     0.02067     0.02077     0.02201   45679.877   123.43996  -118.33591   84249.341  -488.65578   -52790.29   45679.877   123.43996
       0.72     0.02032     0.02042     0.02189     44997.5   111.29221  -135.95397   83146.283  -469.83061   -51846.22     44997.5   111.29221
      0.722     0.01994     0.02002     0.02177   44231.569    98.83366  -154.08942   81914.116   -450.5904   -50780.59   44231.569    98.83366
      0.724     0.01953      0.0196     0.02165   43394.871    86.09993  -172.67697   80570.212  -430.97675    -49614.4   43394.871    86.09993
      0.726     0.01907     0.01914     0.02152   42499.559    73.10079  -191.68122   79129.903  -410.98358   -48368.77   42499.559    73.10079
      0.728     0.01857     0.01865     0.02139   41554.099    59.80991  -211.11945   77602.504  -390.54917   -47059.79   41554.099    59.80991
       0.73     0.01804     0.01812     0.02126    40562.05    46.17629   -231.0519   75989.837  -369.58079   -45696.31    40562.05    46.17629
      0.732     0.01748     0.01756     0.02112   39524.511    32.14787  -251.55177   74290.454  -347.99539   -44283.08   39524.511    32.14787
      0.734      0.0169     0.01697     0.02098   38446.107     17.6969  -272.66891   72509.508  -325.75962   -42828.81   38446.107     17.6969
      0.736     0.01629     0.01635     0.02084   37337.222      2.8371   -294.4022   70662.371  -302.91351   -41349.29   37337.222      2.8371
      0.738     0.01565      0.0157     0.02069   36208.302   -12.37352  -316.69002   68765.151  -279.56946   -39859.75   36208.302   -12.37352
       0.74     0.01498     0.01503     0.02053   35063.455   -27.84587  -339.42294   66823.938  -255.88534   -38366.43   35063.455   -27.84587
