 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
      0.872    -0.00204  -25018.801    33744.49   -96000.02
      0.874    -0.00224  -26948.771   35988.994   -96000.02
      0.876     -0.0024  -28501.311   37795.392   -96000.02
      0.878    -0.00253  -29702.921   39191.117   -96000.02
       0.88    -0.00262  -30593.646   40226.251   -96000.02
      0.882    -0.00268  -31208.402   40938.909   -96000.02
      0.884    -0.00272   -31586.33   41376.655   -96000.02
      0.886    -0.00274    -31763.4   41580.074   -96000.02
      0.888    -0.00275    -31781.2   41598.774   -96000.02
       0.89    -0.00274   -31660.19   41438.006   -95754.56
      0.892    -0.00272   -31447.16   41153.285   -95332.56
      0.894     -0.0027  -31205.475   40831.648   -94845.52
      0.896    -0.00268   -30991.58   40546.213   -94419.19
      0.898    -0.00267  -30864.646   40377.156   -94164.19
        0.9    -0.00267  -30875.994   40392.141   -94187.77
      0.902    -0.00269  -31067.706    40647.87   -94570.51
      0.904    -0.00272  -31463.118   41174.998   -95361.86
      0.906    -0.00277   -32024.46   41889.743   -96000.02
      0.908    -0.00284   -32703.57   42689.068   -96000.02
       0.91    -0.00293   -33563.65   43692.353   -96000.02
      0.912    -0.00304   -34626.82   44938.198   -96000.02
      0.914    -0.00317   -35884.69   46407.142   -96000.03
      0.916    -0.00332   -37345.52   48115.849   -96000.03
      0.918    -0.00349   -38999.35   50047.424   -96000.03
       0.92    -0.00369   -40843.88   52203.001   -96000.03
      0.922     -0.0039   -42861.45   54558.949   -96000.03
      0.924    -0.00412   -45029.31   57090.662   -96000.03
      0.926    -0.00436   -47314.37   59757.941   -96000.03
      0.928    -0.00461   -49685.39   62525.467   -96000.04
       0.93    -0.00486   -52107.94   65352.233   -96000.04
      0.932    -0.00511   -54549.17    68200.52   -96000.04
      0.934    -0.00537   -56975.28   71030.451   -96000.04
      0.936    -0.00561   -59354.36   73805.156   -96000.04
      0.938    -0.00585   -61655.25   76488.064   -96000.04
       0.94    -0.00608   -63849.28   79045.933   -96000.05
      0.942     -0.0063    -65905.3   81442.213   -96000.05
      0.944    -0.00649    -67786.7   83634.188   -96000.05
      0.946    -0.00667   -69456.19   85578.352   -96000.05
      0.948    -0.00682   -70879.19   87232.927   -96000.05
       0.95    -0.00694   -72033.66   88577.248   -96000.05
      0.952    -0.00703   -72889.34   89569.881   -96000.05
      0.954    -0.00708   -73433.98   90200.788   -96000.05
      0.956    -0.00711   -73655.42   90455.378   -96000.05
      0.958     -0.0071   -73524.48   90279.712   -95744.61
       0.96    -0.00705   -72989.55   89567.496   -94668.65
      0.962    -0.00697   -72057.02   88321.634   -92818.48
      0.964    -0.00687   -70758.51   86591.498   -90214.17
      0.966    -0.00673   -69116.29    84400.93   -86935.39
      0.968    -0.00657   -67180.94   81821.196    -83060.3
       0.97    -0.00639   -65004.44   78918.637   -78710.72
      0.972    -0.00619   -62655.71   75787.431   -74010.61
      0.974    -0.00599   -60203.54   72517.535   -69108.33
      0.976    -0.00578   -57724.43   69212.319   -64148.51
      0.978    -0.00558   -55290.86   65967.354   -59282.61
       0.98    -0.00538   -52974.77   62879.387   -54649.46
      0.982    -0.00521   -50835.14    60026.42   -50370.94
      0.984    -0.00505   -48915.28   57466.705   -46530.65
      0.986    -0.00491   -47242.67   55236.485   -43185.88
      0.988    -0.00479    -45834.8   53359.385   -40369.79
       0.99    -0.00469   -44696.83    51842.04   -38094.11
      0.992    -0.00462   -43822.99   50676.966   -36346.24
      0.994    -0.00457   -43196.02   49840.973   -35092.45
      0.996    -0.00453   -42788.89    49298.15   -34278.06
      0.998    -0.00452   -42565.53   49000.322   -33831.44
         1.    -0.00451   -42483.04   48890.354    -33666.4
      1.002    -0.00451   -42505.45   48920.219   -33711.27
