 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-INELASTIC-1PHASE-LL1  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Nonlinear - 0.002
 FUNCTION  disp-1-z:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-z  moment-0-0  moment-0-1  moment-1-1
      0.202    -0.00606   -59846.79     71248.6   -58872.92
      0.204    -0.00594   -58413.36   69337.357   -56006.06
      0.206    -0.00583   -57125.15   67619.747   -53429.64
      0.208    -0.00574   -56028.97   66158.165   -51237.27
       0.21    -0.00567   -55162.55    65002.94   -49504.43
      0.212    -0.00561   -54553.18   64190.442   -48285.69
      0.214    -0.00559   -54216.71   63741.825   -47612.76
      0.216    -0.00558   -54157.17   63662.428   -47493.66
      0.218     -0.0056   -54366.75   63941.868   -47912.82
       0.22    -0.00564   -54826.43   64554.787    -48832.2
      0.222    -0.00569   -55493.25   65443.877   -50165.84
      0.224    -0.00576   -56288.78   66504.587    -51756.9
      0.226    -0.00583   -57116.97    67608.83   -53413.27
      0.228    -0.00589   -57882.26   68629.222   -54943.85
       0.23    -0.00594   -58493.68   69444.449    -56166.7
      0.232    -0.00597   -58868.56   69944.287   -56916.45
      0.234    -0.00598   -58935.87   70034.035   -57051.07
      0.236    -0.00595   -58639.01   69638.222   -56457.35
      0.238     -0.0059    -57937.9   68703.411   -55055.14
       0.24     -0.0058   -56810.36   67200.025   -52800.06
      0.242    -0.00567   -55248.98   65118.174   -49677.28
      0.244    -0.00551   -53257.39    62462.73   -45694.12
      0.246    -0.00531   -50853.68   59257.776   -40886.69
      0.248    -0.00507   -48072.97   55550.165   -35325.27
       0.25    -0.00482   -44965.66   51407.083  -29110.646
      0.252    -0.00453   -41594.94     46912.8  -22369.222
      0.254    -0.00424   -38033.92   42164.774  -15247.182
      0.256    -0.00393   -34362.29    37269.26   -7903.912
      0.258    -0.00362  -30662.829   32336.646   -504.9906
       0.26    -0.00332  -27017.867  27476.6972  6784.93246
      0.262    -0.00303  -23511.768  22801.8983  13797.1308
      0.264    -0.00275  -20233.302  18430.6093  20354.0643
      0.266    -0.00251  -17265.824  14473.9732  26289.0184
      0.268    -0.00229  -14677.886   11023.388  31464.8963
       0.27    -0.00211  -12520.619  8147.03237    35779.43
      0.272    -0.00197  -10825.926  5887.44239   39168.815
      0.274    -0.00187    -9605.51   4260.2209   41609.647
      0.276    -0.00181   -8850.778  3253.91191    43119.11
      0.278    -0.00178   -8533.611  2831.02197   43753.445
       0.28    -0.00179   -8607.937  2930.12281   43604.794
      0.282    -0.00182   -9024.661  3485.75544   42771.345
      0.284    -0.00188   -9746.427  4448.11003   41327.813
      0.286    -0.00196  -10736.338  5767.99145   39347.991
      0.288    -0.00206  -11946.887  7382.05715   36926.893
       0.29    -0.00218  -13322.177  9215.77721   34176.312
      0.292     -0.0023  -14800.451   11186.809  31219.7648
      0.294    -0.00243  -16316.821  13208.6351  28187.0256
      0.296    -0.00255  -17806.074  15194.3061  25208.5191
      0.298    -0.00267   -19205.44   17060.127  22409.7877
        0.3    -0.00277  -20457.194  18729.1329  19906.2789
      0.302    -0.00286  -21488.463  20104.1579  17843.7413
      0.304    -0.00292  -22192.064  21042.2928  16436.5391
      0.306    -0.00294  -22454.263  21391.8907  15912.1422
      0.308    -0.00292  -22182.251  21029.2089  16456.1649
       0.31    -0.00284  -21307.661  19863.0892  18205.3445
      0.312    -0.00272   -19788.97  17838.1671  21242.7276
      0.314    -0.00254  -17612.723  14936.5045  25595.2215
      0.316     -0.0023  -14793.549  11177.6054  31233.5702
      0.318    -0.00202   -11372.98  6616.84782   38074.707
       0.32    -0.00169   -7417.167  1342.43005   45986.333
      0.322    -0.00132  -3047.5424   -4483.736   54725.582
      0.324  -9.408E-04  1531.45109  -10589.061   63883.569
      0.326  -5.620E-04  6076.61418  -16649.278   72973.896
      0.328  -2.058E-04  10351.0036  -22348.464   81522.675
       0.33   1.094E-04  14133.8309  -27392.234   89088.329
      0.332   3.674E-04  17229.4811  -31519.767   95279.629
      0.334   5.555E-04  19157.4571   -33870.66   96000.001
      0.336   6.662E-04  20167.7454   -35006.22   96000.002
      0.338   6.950E-04  20456.6701   -35353.57   96000.002
       0.34   6.397E-04  19777.6868   -34438.02   94703.508
      0.342   5.028E-04  18146.6384   -32271.24   91393.705
      0.344   2.941E-04   15633.881  -28914.642     86405.7
      0.346   2.867E-05  12455.4879  -24681.636   80019.804
      0.348  -2.767E-04  8785.31726  -19784.311   72702.053
       0.35  -6.037E-04  4865.98147  -14561.451   64845.851
      0.352  -9.334E-04   905.92939   -9279.114   56939.352
      0.354    -0.00125  -2857.8469   -4262.506   49401.241
      0.356    -0.00153   -6225.383   228.90854   42674.361
      0.358    -0.00176   -8998.801  3925.73856   37121.168
       0.36    -0.00193  -11023.746  6626.48732   33076.213
      0.362    -0.00202  -12174.125   8159.6889  30771.6239
      0.364    -0.00204  -12381.591  8436.80535  30359.6642
      0.366    -0.00198   -11617.04  7417.01917    31886.46
      0.368    -0.00183   -9898.309  5125.67671   35325.711
       0.37    -0.00162   -7279.173   1633.2632   40562.595
      0.372    -0.00133   -3853.586  -2934.0069   47414.848
      0.374  -9.878E-04   254.70121   -8411.862   55630.585
      0.376  -6.012E-04   4893.6095  -14596.965   64909.051
      0.378  -1.846E-04  9893.11042   -21263.05   74907.549
       0.38   2.468E-04  15070.1488  -28165.703   85262.017
      0.382   6.756E-04  20215.6285   -35026.39   95552.673
      0.384     0.00108  24296.8613   -39927.16   96000.005
      0.386     0.00146  27776.0815   -43906.63   96000.008
      0.388     0.00178  30967.3444   -47676.59    96000.01
       0.39     0.00205   33514.335   -50599.07   96000.012
      0.392     0.00226    35535.36   -52976.41   96000.013
      0.394      0.0024   36818.642   -54440.74   96000.014
      0.396     0.00246   37417.411   -55143.54   96000.015
      0.398     0.00244   37178.854   -54812.12   95602.993
        0.4     0.00234   35992.087   -53240.12   93167.304
      0.402     0.00216   33842.203   -50365.71   88914.947
      0.404     0.00192  30931.9407   -46491.49   83057.629
      0.406     0.00163  27442.0202    -41833.5   76106.341
      0.408     0.00131  23639.0663   -36766.59   68478.274
       0.41   9.900E-04  19747.2363  -31574.619   60711.811
      0.412   6.799E-04  16029.1273  -26619.364   53262.248
      0.414   4.030E-04  12704.4118  -22184.684   46623.173
      0.416   1.771E-04  9995.32928  -18573.913   41196.971
      0.418   1.723E-05  8075.38179  -16012.944   37363.313
       0.42  -6.454E-05  7095.44007  -14707.162   35398.589
      0.422  -6.069E-05  7140.62285  -14766.779   35492.711
      0.424   3.049E-05  8235.58051  -16227.209   37679.712
      0.426   2.060E-04  10341.4523  -19034.661   41893.718
      0.428   4.594E-04  13382.5344   -23089.73   47974.126
       0.43   7.810E-04  17241.0713  -28234.218   55692.562
      0.432     0.00116  21770.1651   -34273.19   64749.693
      0.434     0.00158  26795.0623   -40972.91   74800.307
      0.436     0.00202    32125.37    -48080.1   85460.285
      0.438     0.00247   37531.995   -55269.41   96000.015
       0.44     0.00292   41967.066   -60555.37   96000.018
      0.442     0.00336   46032.348   -65212.46   96000.021
      0.444     0.00377    50062.58   -69971.93   96000.024
      0.446     0.00415   53678.492   -74141.41   96000.027
      0.448      0.0045   57026.032   -78073.55   96000.029
       0.45      0.0048   59877.302   -81366.99   96000.032
      0.452     0.00505   62300.241   -84204.85   96000.033
      0.454     0.00525   64156.243   -86349.42   96000.035
      0.456     0.00538   65469.452    -87880.2   96000.036
      0.458     0.00546   66169.974    -88679.9   96000.036
       0.46     0.00547    66279.67   -88805.94   96000.037
      0.462     0.00542   65645.905   -87960.24   94736.607
      0.464      0.0053   64242.086   -86089.32   91923.965
      0.466     0.00512   62089.734   -83219.73   87617.949
      0.468     0.00488   59242.876   -79422.38   81933.501
       0.47      0.0046   55790.359   -74819.06   75028.257
      0.472     0.00427   51838.314   -69550.06   67121.774
      0.474     0.00391   47512.926    -63783.1   58469.646
      0.476     0.00353   42954.093   -57704.48   49353.028
      0.478     0.00314   38310.194   -51512.75   40064.416
       0.48     0.00276   33728.412   -45403.61  30901.4853
      0.482     0.00239  29379.3946     -39605.  22202.9594
      0.484     0.00207  25474.5855   -34398.52  14393.7217
      0.486      0.0018  22230.8848  -30073.637  7906.02505
      0.488      0.0016  19832.2521  -26875.422  3108.98875
       0.49     0.00148  18423.7721  -24997.478   291.85091
      0.492     0.00145  18105.3628  -24572.909  -344.82957
      0.494     0.00152  18929.1639  -25671.329  1302.66543
      0.496     0.00169  20897.7209  -28296.058  5239.86268
      0.498     0.00194   23965.295   -32386.17  11374.9463
        0.5     0.00228   28040.419   -37819.66  19525.2444
      0.502     0.00269   32958.349    -44376.9  29361.0647
      0.504     0.00315   38456.695   -51708.03   40357.787
      0.506     0.00363   44221.203   -59394.04   51886.781
      0.508     0.00411   49932.545   -67009.16   63309.482
       0.51     0.00455   55280.014   -74139.12   74004.406
      0.512     0.00494   59973.814   -80397.12   83394.423
      0.514     0.00526   63759.807   -85445.42   90964.534
      0.516     0.00548   66399.744   -88948.44   96000.012
      0.518      0.0056   67546.286    -90311.6   96000.013
       0.52      0.0056    67520.43   -90233.69   96000.013
      0.522     0.00549   66215.843   -88517.12   93253.537
      0.524     0.00527    63523.26   -84908.73   87978.048
      0.526     0.00494   59671.529   -79786.86   80191.934
      0.528     0.00454   54743.578   -73205.57   70400.174
       0.53     0.00406   49013.538   -65574.23   58887.853
      0.532     0.00353   42668.482   -57107.39   46238.283
      0.534     0.00297   36009.263   -48233.68   32888.382
      0.536     0.00241  29272.4663   -39247.21  19439.2055
      0.538     0.00187  22748.8202  -30552.178  6372.96457
       0.54     0.00136  16671.1547  -22446.173   -5767.661
      0.542   9.127E-04  11282.2748  -15262.902  -16556.833
      0.544   5.365E-04  6765.06624   -9238.481  -25582.394
      0.546   2.461E-04  3282.06577   -4595.626   -32555.27
      0.548   5.044E-05    933.1998  -1462.9154   -37247.67
       0.55  -4.570E-05  -219.42555    73.22857   -39557.06
      0.552  -4.193E-05  -174.95588    14.47105    -39464.9
