  Saved    Null   Total  Iteration   Relative  Curr Step   Curr Sum    Max Sum
  Steps   Steps   Steps  this Step  Unbalance       Size   of Steps   of Steps
 (    1      50     200     -10/40   1.000000   1.000000   1.000000   1.000000)
      0       0       4         -6   1.813877   0.005112   0.894108   0.894108
      0       0       4         -7   1.755725   0.005112   0.894108   0.894108
      0       0       4         -8   1.699442   0.005112   0.894108   0.894108
      0       0       4         -9   1.644970   0.005112   0.894108   0.894108
      0       0       4        -10   1.592248   0.005112   0.894108   0.894108
      0       0       4          1   2.230191   0.005112   0.894108   0.894108
      0       0       4          2   2.128443   0.005112   0.894108   0.894108
      0       0       4          3   2.075544   0.005112   0.894108   0.894108
      0       0       4          4   2.026230   0.005112   0.894108   0.894108
      0       0       4          5   1.978074   0.005112   0.894108   0.894108
      0       0       4          6   1.931066   0.005112   0.894108   0.894108
      0       0       4          7   1.885179   0.005112   0.894108   0.894108
      0       0       4          8   1.840385   0.005112   0.894108   0.894108
      0       0       4          9   1.796659   0.005112   0.894108   0.894108
      0       0       4         10   1.753975   0.005112   0.894108   0.894108
      0       0       4         11   1.712308   0.005112   0.894108   0.894108
      0       0       4         12   1.671633   0.005112   0.894108   0.894108
      0       0       4         13   1.631927   0.005112   0.894108   0.894108
      0       0       4         14   1.593166   0.005112   0.894108   0.894108
      0       0       4         15   1.555329   0.005112   0.894108   0.894108
      0       0       4         16   1.518392   0.005112   0.894108   0.894108
      0       0       4         17   1.482335   0.005112   0.894108   0.894108
      0       0       4         18   1.447136   0.005112   0.894108   0.894108
      0       0       4         19   1.412774   0.005112   0.894108   0.894108
      0       0       4         20   1.379231   0.005112   0.894108   0.894108
      0       0       4         21   1.346485   0.005112   0.894108   0.894108
      0       0       4         22   1.314519   0.005112   0.894108   0.894108
      0       0       4         23   1.283313   0.005112   0.894108   0.894108
      0       0       4         24   1.252849   0.005112   0.894108   0.894108
      0       0       4         25   1.223110   0.005112   0.894108   0.894108
      0       0       4         26   1.194079   0.005112   0.894108   0.894108
      0       0       4         27   1.165737   0.005112   0.894108   0.894108
      0       0       4         28   1.138070   0.005112   0.894108   0.894108
      0       0       4         29   1.111060   0.005112   0.894108   0.894108
      0       0       4         30   1.084693   0.005112   0.894108   0.894108
      0       0       4         31   1.058952   0.005112   0.894108   0.894108
      0       0       4         32   1.033823   0.005112   0.894108   0.894108
      0       1       5  Conv   -1   0.809763   0.002556   0.896664   0.896664
      0       1       6         -1   0.448277   0.005112   0.896664   0.896664
      0       1       6         -1   0.928755   0.010224   0.896664   0.896664
      0       1       6         -1   2.720490   0.026011   0.896664   0.896664
      0       1       6         -2   2.859915   0.026011   0.896664   0.896664
      0       1       6         -3   2.659994   0.026011   0.896664   0.896664
      0       1       6         -4   2.541304   0.026011   0.896664   0.896664
      0       1       6         -5   2.456421   0.026011   0.896664   0.896664
      0       1       6         -6   2.385653   0.026011   0.896664   0.896664
      0       1       6         -7   2.321297   0.026011   0.896664   0.896664
      0       1       6         -8   2.260366   0.026011   0.896664   0.896664
      0       1       6         -9   2.201691   0.026011   0.896664   0.896664
      0       1       6        -10   2.144798   0.026011   0.896664   0.896664
      0       1       6          1   1.216293   0.013006   0.896664   0.896664
      0       1       6  Conv    2   0.758613   0.013006   0.909669   0.909669
