 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
      0.204    -0.00339   -40731.11   54308.147   -81462.22
      0.206    -0.00319   -38286.61   51048.808   -76573.21
      0.208    -0.00303   -36343.75   48458.334    -72687.5
       0.21    -0.00291   -34969.67    46626.22   -69939.33
      0.212    -0.00285   -34205.87   45607.827   -68411.74
      0.214    -0.00284   -34067.04   45422.722   -68134.08
      0.216    -0.00288   -34540.94   46054.583   -69081.87
      0.218    -0.00297   -35589.48   47452.635   -71178.95
       0.22     -0.0031   -37150.89   49534.515   -74301.77
      0.222    -0.00326   -39132.66   52176.874   -78265.31
      0.224    -0.00345   -41385.89   55181.193   -82771.79
      0.226    -0.00365   -43743.15     58324.2    -87486.3
      0.228    -0.00384   -46035.98   61381.309   -92071.96
       0.23    -0.00401   -48102.16   64136.213   -96204.32
      0.232    -0.00415   -49792.44    66389.92   -99584.88
      0.234    -0.00425   -50976.66   67968.877  -101953.32
      0.236     -0.0043   -51548.88   68731.836  -103097.75
      0.238    -0.00429    -51431.4   68575.202   -102862.8
       0.24    -0.00421   -50577.51   67436.674  -101155.01
      0.242    -0.00408   -48970.04   65293.387   -97940.08
      0.244    -0.00388    -46613.4   62151.204   -93226.81
      0.246    -0.00363   -43541.09   58054.788   -87082.18
      0.248    -0.00332   -39816.39   53088.517   -79632.78
       0.25    -0.00296   -35529.06   47372.079   -71058.12
      0.252    -0.00257  -30790.985   41054.647   -61581.97
      0.254    -0.00214  -25730.939   34307.919   -51461.88
      0.256    -0.00171  -20488.758  27318.3445   -40977.52
      0.258    -0.00127  -15209.161  20278.8808  -30418.321
       0.26  -8.363E-04   -10035.48  13380.6403   -20070.96
      0.262  -4.257E-04    -5108.01  6810.68058  -10216.021
