 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
      0.842   9.824E-04  11788.7203  -15718.294  23577.4407
      0.844   9.112E-04   10934.708  -14579.611  21869.4161
      0.846   7.902E-04  9482.34447  -12643.126  18964.6889
      0.848   6.192E-04  7430.72644   -9907.635  14861.4529
       0.85   4.004E-04  4804.48922   -6405.986  9608.97844
      0.852   1.377E-04  1652.23217  -2202.9762  3304.46435
      0.854  -1.630E-04  -1956.0438  2608.05837   -3912.088
      0.856  -4.944E-04   -5932.357  7909.80977  -11864.715
      0.858  -8.479E-04  -10174.863  13566.4846  -20349.727
       0.86    -0.00121  -14572.476  19429.9674  -29144.951
      0.862    -0.00158  -19008.554  25344.7382   -38017.11
      0.864    -0.00195  -23362.324  31149.7654   -46724.65
      0.866    -0.00229  -27517.782   36690.376   -55035.56
      0.868    -0.00261  -31369.754   41826.338   -62739.51
       0.87     -0.0029   -34828.15   46437.537   -69656.31
      0.872    -0.00315   -37821.51   50428.676   -75643.01
      0.874    -0.00336   -40299.62   53732.824   -80599.24
      0.876    -0.00352   -42235.26   56313.682   -84470.52
      0.878    -0.00364   -43624.88   58166.501   -87249.75
       0.88    -0.00371   -44488.22   59317.632   -88976.45
      0.882    -0.00374   -44864.73   59819.641   -89729.46
      0.884    -0.00373   -44804.43   59739.244   -89608.87
      0.886     -0.0037   -44372.62   59163.491   -88745.24
      0.888    -0.00364   -43649.05   58198.737   -87298.11
       0.89    -0.00356   -42724.29   56965.719   -85448.58
      0.892    -0.00347   -41695.58   55594.111   -83391.17
      0.894    -0.00339   -40662.62   54216.823   -81325.23
      0.896    -0.00331   -39723.21   52964.276   -79446.41
      0.898    -0.00325   -38969.17   51958.893   -77938.34
        0.9    -0.00321   -38482.54   51310.056   -76965.08
      0.902    -0.00319   -38329.06   51105.408   -76658.11
      0.904    -0.00321   -38546.09   51394.791   -77092.19
      0.906    -0.00326   -39151.29   52201.721   -78302.58
      0.908    -0.00335   -40145.39   53527.191   -80290.79
       0.91    -0.00346   -41512.57   55350.092   -83025.14
      0.912     -0.0036   -43221.42   57628.564   -86442.85
      0.914    -0.00377   -45226.66   60302.209   -90453.31
      0.916    -0.00396   -47471.28   63295.041   -94942.56
      0.918    -0.00416   -49889.28   66519.044   -99778.57
       0.92    -0.00437   -52408.63   69878.168  -104817.25
      0.922    -0.00458   -54950.64   73267.523  -109901.28
      0.924    -0.00479   -57422.26   76563.008  -114844.51
      0.926    -0.00498   -59731.55   79642.061  -119463.09
      0.928    -0.00515    -61795.4   82393.861  -123590.79
       0.93     -0.0053   -63542.85   84723.801   -127085.7
      0.932    -0.00541   -64917.89   86557.185  -129835.78
      0.934    -0.00549    -65881.5      87842.    -131763.
      0.936    -0.00553     -66413.   88550.665    -132826.
      0.938    -0.00554   -66510.53     88680.7  -133021.05
       0.94    -0.00552   -66190.74    88254.32  -132381.48
      0.942    -0.00546   -65483.74   87311.657  -130967.49
      0.944    -0.00537   -64419.67   85892.888  -128839.33
      0.946    -0.00525   -63039.28   84052.372  -126078.56
      0.948    -0.00512   -61395.99   81861.314  -122791.97
       0.95    -0.00496   -59553.28   79404.379  -119106.57
      0.952     -0.0048   -57581.86   76775.817  -115163.73
      0.954    -0.00463   -55556.43   74075.246  -111112.87
      0.956    -0.00446   -53552.48   71403.302  -107104.95
      0.958     -0.0043     -51643.   68857.333    -103286.
       0.96    -0.00416   -49895.49    66527.32   -99790.98
      0.962    -0.00403   -48365.35   64487.138   -96730.71
      0.964    -0.00392   -47082.54   62776.714   -94165.07
      0.966    -0.00384   -46062.08   61416.105   -92124.16
      0.968    -0.00378   -45307.54   60410.057   -90615.09
       0.97    -0.00373   -44811.09   59748.121   -89622.18
      0.972    -0.00371   -44554.06   59405.407   -89108.11
      0.974    -0.00371   -44507.96   59343.944   -89015.92
      0.976    -0.00372   -44635.92   59514.562   -89271.84
      0.978    -0.00374   -44894.42   59859.221   -89788.83
       0.98    -0.00377   -45235.25   60313.663   -90470.49
      0.982     -0.0038   -45604.48   60805.971   -91208.96
      0.984    -0.00383   -45935.26   61247.013   -91870.52
      0.986    -0.00385   -46160.56    61547.41   -92321.11
      0.988    -0.00385   -46219.21   61625.613   -92438.42
       0.99    -0.00384   -46058.41   61411.213   -92116.82
      0.992     -0.0038   -45635.78   60847.709   -91271.56
      0.994    -0.00374   -44920.97   59894.629   -89841.94
      0.996    -0.00366   -43896.69   58528.925   -87793.39
      0.998    -0.00355    -42559.2   56745.594   -85118.39
         1.    -0.00341   -40918.14    54557.52   -81836.28
      1.002    -0.00325   -39004.94   52006.581   -78009.87
