 
 SAP2000 v24.1.0 File: 3D-SIMPLE-BEAM-DYNAMIC-INELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  dynamic-inelastic-0.002
 FUNCTION  disp-1-y:  Joint 1  Displacement  UY    
 FUNCTION  disp-1-z:  Joint 1  Displacement  UZ    
 FUNCTION  shear22-0-0:  Frame 0  Station 1  Shear 2-2    
 FUNCTION  shear22-0-1:  Frame 0  Station 5  Shear 2-2    
 FUNCTION  shear33-0-1:  Frame 0  Station 5  Shear 3-3    
 FUNCTION  shear33-0-0:  Frame 0  Station 1  Shear 3-3    
 FUNCTION  moment22-0-0:  Frame 0  Station 1  Moment 2-2    
 FUNCTION  moment22-0-1:  Frame 0  Station 5  Moment 2-2    
 FUNCTION  shear22-1-1:  Frame 1  Station 3  Shear 2-2    
 FUNCTION  shear33-1-1:  Frame 1  Station 3  Shear 3-3    
 FUNCTION  moment22-1-1:  Frame 1  Station 3  Moment 2-2    
 FUNCTION  moment33-0-0:  Frame 0  Station 1  Moment 3-3    
 FUNCTION  moment33-0-1:  Frame 0  Station 5  Moment 3-3    
 FUNCTION  moment33-1-1:  Frame 1  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-1-y    disp-1-z shear22-0-0 shear22-0-1 shear33-0-1 shear33-0-0 moment22-0- moment22-0- shear22-1-1 shear33-1-1 moment22-1- moment33-0- moment33-0- moment33-1-
         0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.          0.
       0.57   2.823E-04   7.723E-04  10316.5132  10316.5132   -58.94404   -58.94404   -69.40622    48.48186   -26926.58  -341.42294    389.9048   8937.1394  -11695.887  15230.6926
      0.572   3.742E-04   9.180E-04  12356.9575  12356.9575  -110.40155  -110.40155  -113.51266   107.29044   -32756.42  -194.40147   301.69192  10686.0916  -14027.823  18728.5971
      0.574   4.696E-04     0.00103  13967.7765  13967.7765  -163.86696  -163.86696  -159.34015   168.39377   -37358.76   -41.64317   210.03693  12066.7937  -15868.759  21490.0011
      0.576   5.681E-04     0.00111  15070.4488  15070.4488  -219.00164  -219.00164  -206.59845   231.40484   -40509.25   115.88451   115.52033  13011.9413  -17128.956  23380.2964
      0.578   6.689E-04     0.00115  15608.3833  15608.3833  -275.47865  -275.47865  -255.00453   295.95277   -42045.71   277.14713    18.74716  13473.0141  -17743.752  24302.2471
       0.58   7.715E-04     0.00115  15549.0192  15549.0192   -332.9102   -332.9102  -304.23436   361.58604    -41876.6   441.33753   -79.75148  13422.1446  -17675.894   24200.703
      0.582   8.753E-04      0.0011  14886.5504  14886.5504  -391.01134  -391.01134  -354.03534   427.98734   -39983.83   607.34078  -179.35343  12854.3141  -16918.787  23065.0421
      0.584   9.797E-04     0.00101  13643.2532  13643.2532  -449.50284  -449.50284  -404.17091   494.83478   -36431.55   774.45935  -279.62458  11788.6308  -15497.876  20933.6754
      0.586     0.00108   8.831E-04  11867.1178  11867.1178  -508.13582  -508.13582  -454.42775    561.8439  -31356.878   941.98216  -380.13826   10266.229  -13468.007  17888.8719
      0.588     0.00119   7.232E-04  9629.05662  9629.05662  -566.66124  -566.66124   -504.5924   628.73009  -24962.418  1109.19764  -480.46755   8347.8909  -10910.222  14052.1956
       0.59     0.00129   5.368E-04  7019.82708  7019.82708  -624.82911  -624.82911   -554.4508   695.20743  -17507.517  1275.39973  -580.18753  6111.40957   -7928.245  9579.24884
      0.592      0.0014   3.316E-04   4146.2115   4146.2115  -682.39473  -682.39473  -603.79253   760.99694   -9297.146  1439.86476  -678.86782  3648.30937   -4644.114  4653.03254
      0.594      0.0015   1.159E-04  1126.27131  1126.27131  -739.10744  -739.10744  -652.40342   825.81145  -668.74564  1601.90105   -776.0896   1059.7892  -1192.7534  -524.00778
      0.596      0.0016  -1.014E-04  -1915.5304  -1915.5304  -794.72293  -794.72293  -700.07378   889.37208  8022.12739   1760.8003  -871.42948  -1547.4697  2283.59114    -5738.53
      0.598     0.00169  -3.113E-04   -4853.785   -4853.785  -848.99868  -848.99868  -746.59547   951.40188  16417.2091  1915.86021  -964.46755   -4065.976  5641.59462  -10775.568
        0.6     0.00179  -5.051E-04   -7567.664   -7567.664  -901.68931  -901.68931  -791.75893  1011.61969  24171.1372  2066.40691  -1054.7953   -6392.157  8743.17024  -15427.927
      0.602     0.00188  -6.750E-04   -9946.067   -9946.067  -952.55253  -952.55253  -835.35635   1069.7487  30966.5072  2211.74417  -1141.9955   -8430.787  11461.3477   -19505.16
      0.604     0.00197  -8.141E-04  -11892.914  -11892.914  -1001.3359  -1001.3359  -877.17068  1125.50113   36528.927  2351.12525  -1225.6241  -10099.513  13686.3155  -22842.611
      0.606     0.00205  -9.168E-04  -13330.883  -13330.883  -1047.7808  -1047.7808  -916.98058    1178.581    40637.41  2483.82492  -1305.2439  -11332.057  15329.7087  -25307.701
      0.608     0.00213  -9.792E-04  -14204.528  -14204.528  -1091.6345  -1091.6345  -954.56949  1228.69955   43133.539  2609.12129  -1380.4217  -12080.896  16328.1603  -26805.378
       0.61      0.0022  -9.991E-04  -14482.705  -14482.705   -1132.649   -1132.649  -989.72474  1275.57322    43928.33  2726.30546  -1450.7322  -12319.334  16646.0769  -27282.253
      0.612     0.00227  -9.760E-04  -14159.884  -14159.884  -1170.5809  -1170.5809  -1022.2378  1318.92402   43005.984  2834.68248  -1515.7585   -12042.63  16277.1385  -26728.846
      0.614     0.00233  -9.115E-04  -13256.394  -13256.394  -1205.1925  -1205.1925  -1051.9049  1358.48008   40424.585  2933.57261  -1575.0925   -11268.21  15244.5789  -25180.006
      0.616     0.00238  -8.087E-04  -11817.619  -11817.619  -1236.2398  -1236.2398  -1078.5191   1393.9605     36313.4  3022.35891  -1628.3519  -10034.963  13600.2755  -22713.357
      0.618     0.00243  -6.726E-04    -9911.81    -9911.81  -1263.5184  -1263.5184  -1101.9011  1425.13571  30868.1732  3100.30936  -1675.1204   -8401.411  11422.2094   -19446.23
       0.62     0.00247  -5.094E-04   -7627.376   -7627.376  -1286.8139  -1286.8139  -1121.8661  1451.76166  24341.6741  3166.77657  -1715.0149   -6443.337  8811.41446   -15530.26
      0.622     0.00251  -3.265E-04   -5066.732   -5066.732  -1305.9511  -1305.9511  -1138.2694  1473.63273  17025.5498  3221.45424  -1747.8215   -4248.499  5884.96475  -11140.585
      0.624     0.00254  -1.313E-04  -2334.1831  -2334.1831  -1321.0661  -1321.0661  -1151.2251  1490.90704  9218.26694  3264.64002   -1773.733  -1906.3146  2762.05161   -6456.215
      0.626     0.00256   6.833E-05   460.97678   460.97678  -1332.3545  -1332.3545  -1160.9009  1503.80808   1232.0959  3296.89261  -1793.0845   489.53674  -432.41681  -1664.5127
      0.628     0.00257   2.645E-04  3206.75835  3206.75835  -1340.0184  -1340.0184    -1167.47  1512.56687   -6612.994  3318.78959  -1806.2227  2843.06381   -3570.453  3042.54142
       0.63     0.00258   4.492E-04  5793.28903  5793.28903  -1344.2663  -1344.2663   -1171.111  1517.42162  -14003.082  3330.92646  -1813.5048  5060.09011   -6526.488  7476.59402
      0.632     0.00258   6.152E-04  8117.56956  8117.56956  -1345.3125  -1345.3125  -1172.0077  1518.61722  -20643.883  3333.91546  -1815.2982  7052.33056   -9182.809  11461.0749
      0.634     0.00258   7.560E-04  10087.8737  10087.8737  -1343.3794  -1343.3794  -1170.3503  1516.40848  -26273.233  3328.37421  -1811.9763  8741.16019  -11434.587  14838.6989
      0.636     0.00257   8.660E-04  11627.6592  11627.6592  -1338.6841  -1338.6841  -1166.3263  1511.04197  -30672.711  3314.97735  -1803.9354  10060.9788   -13194.34  17478.3715
      0.638     0.00255   9.410E-04  12679.0046  12679.0046  -1331.4644  -1331.4644  -1160.1379  1502.79081   -33676.56  3294.34944  -1791.5586   10962.132  -14395.877  19280.6779
       0.64     0.00254   9.786E-04  13204.9314  13204.9314  -1321.9516  -1321.9516  -1151.9841  1491.91906    -35179.2  3267.17007   -1775.251  11412.9264  -14996.936  20182.2666
      0.642     0.00252   9.777E-04  13191.8004  13191.8004  -1310.4028  -1310.4028  -1142.0851  1478.72043   -35141.69  3234.17349  -1755.4531  11401.6713   -14981.93  20159.7564
      0.644     0.00249   9.391E-04  12651.9819  12651.9819  -1297.1538  -1297.1538  -1130.7289  1463.57877   -33599.35  3196.31934  -1732.7406  10938.9697  -14364.994  19234.3533
      0.646     0.00247   8.655E-04  11621.2232  11621.2232  -1282.5625  -1282.5625  -1118.2221    1446.903  -30654.322  3154.62992  -1707.7269  10055.4623  -13186.984  17467.3383
      0.648     0.00244   7.609E-04  10156.3834  10156.3834  -1266.9889  -1266.9889  -1104.8732  1429.10456  -26469.066  3110.13381  -1681.0293  8799.88528  -11512.882  14956.1844
       0.65     0.00241   6.306E-04  8333.00907  8333.00907  -1250.7947  -1250.7947  -1090.9925   1410.5969  -21259.425  3063.86467  -1653.2678  7236.99299   -9429.025  11830.3998
      0.652     0.00238   4.813E-04  6242.11243  6242.11243  -1234.3491  -1234.3491  -1076.8951   1391.8031  -15285.219  3016.83412  -1625.0561   5444.7899   -7039.435  8245.90987
      0.654     0.00235   3.201E-04  3986.08076  3986.08076  -1217.9965  -1217.9965  -1062.8797  1373.11319    -8839.63  2970.15538  -1597.0422  3511.05444   -4461.107  4378.52269
      0.656     0.00232   1.550E-04   1674.6407   1674.6407  -1202.1289  -1202.1289   -1049.277  1354.98081  -2235.1657  2924.74965  -1569.8096   1529.8104   -1819.471   415.89863
      0.658      0.0023  -6.052E-06  -580.40543  -580.40543  -1187.0719  -1187.0719   -1036.373  1337.77088  4207.47364  2881.79961  -1544.0287  -403.07658   757.73429   -3449.739
       0.66     0.00227  -1.553E-04  -2669.3616  -2669.3616  -1173.2169  -1173.2169  -1024.4973  1321.93658  10175.9197  2842.21387  -1520.2773  -2193.6104  3145.11271   -7030.807
      0.662     0.00225  -2.853E-04   -4490.095   -4490.095   -1160.907   -1160.907  -1013.9459  1307.86807  15378.0149  2807.04258  -1499.1745   -3754.239  5225.95079  -10152.064
      0.664     0.00223  -3.898E-04   -5952.756   -5952.756  -1150.4709  -1150.4709  -1005.0007  1295.94116  19557.0472  2777.22532  -1481.2842   -5007.949  6897.56372  -12659.483
      0.666     0.00222  -4.634E-04    -6983.12    -6983.12  -1142.2289  -1142.2289   -997.9361  1286.52169  22500.9444  2753.67665   -1467.155   -5891.118   8075.1226  -14425.822
      0.668     0.00221  -5.021E-04   -7525.558   -7525.558  -1136.4972  -1136.4972  -993.02321  1279.97118   24050.768  2737.30037  -1457.3292   -6356.065  8695.05203  -15355.716
       0.67      0.0022  -5.036E-04   -7545.439   -7545.439  -1133.5878  -1133.5878  -990.52948  1276.64621  24107.5704  2728.98794  -1452.3417   -6373.106  8717.77298  -15389.797
      0.672      0.0022  -4.668E-04    -7030.62    -7030.62  -1133.8079  -1133.8079  -990.71813  1276.89774  22636.6585  2729.61676   -1452.719   -5931.832  8129.40823   -14507.25
      0.674     0.00221  -3.926E-04   -5991.964   -5991.964  -1137.4591  -1137.4591  -993.84774  1281.07055  19669.0686  2740.04879  -1458.9782   -5041.555  6942.37226  -12726.696
      0.676     0.00222  -2.834E-04   -4462.874   -4462.874  -1144.8373  -1144.8373  -1000.1718  1289.50269  15300.2411  2761.12915  -1471.6265   -3730.907  5194.84125    -10105.4
      0.678     0.00224  -1.430E-04  -2497.8574  -2497.8574  -1156.2316  -1156.2316  -1009.9385  1302.52484  9685.90781  2793.68451  -1491.1597  -2046.6068  2949.10795     -6736.8
       0.68     0.00227   2.325E-05   -170.1795   -170.1795  -1171.9247  -1171.9247  -1023.3896  1320.45973  3035.39954  2838.52175   -1518.062   -51.45435   288.90465  -2746.4949
      0.682     0.00231   2.090E-04   2430.8961   2430.8961   -1192.181   -1192.181  -1040.7521  1343.60976   -4396.245  2896.39681  -1552.7871  2178.03902  -2683.7532  1712.49185
      0.684     0.00235   4.070E-04  5202.79777  5202.79777  -1217.2156  -1217.2156  -1062.2104   1372.2208  -12315.964  2967.92441  -1595.7036  4553.95473   -5851.641  6464.32327
      0.686      0.0024   6.093E-04  8035.21091  8035.21091  -1247.2251  -1247.2251  -1087.9329   1406.5174  -20408.573  3053.66592  -1647.1485  6981.73743   -9088.684  11319.8887
      0.688     0.00247   8.079E-04  10815.2156  10815.2156  -1282.3975  -1282.3975  -1118.0806  1446.71433  -28351.444  3154.15824  -1707.4439  9364.59863  -12265.833  16085.6111
       0.69     0.00254   9.948E-04  13432.1465  13432.1465  -1322.9115  -1322.9115  -1152.8069  1493.01613   -35828.39  3269.91274  -1776.8966  11607.6822  -15256.611  20571.7783
      0.692     0.00262     0.00116  15782.3551  15782.3551  -1368.9371  -1368.9371  -1192.2574  1545.61681   -42543.27  3401.41445  -1855.7976  13622.1467  -17942.563  24600.7073
      0.694     0.00271      0.0013  17773.6718  17773.6718  -1420.6345  -1420.6345  -1236.5695   1604.6995   -48232.75  3549.12117  -1944.4217  15328.9897  -20218.354  28014.3931
      0.696     0.00282     0.00142  19329.3689  19329.3689   -1478.154   -1478.154  -1285.8719  1670.43614    -52677.6  3713.46276  -2043.0266  16662.4442  -21996.293  30681.3023
      0.698     0.00293     0.00149  20391.4627  20391.4627  -1541.6362  -1541.6362  -1340.2852  1742.98717   -55712.15  3894.84035  -2151.8532  17572.8104  -23210.115   32502.035
        0.7     0.00305     0.00153  20923.2117  20923.2117   -1611.211   -1611.211  -1399.9208  1822.50127   -57231.43   4093.6256  -2271.1243  18028.5953  -23817.828   33413.604
      0.702     0.00319     0.00153  20909.5431  20909.5431  -1686.9674  -1686.9674  -1464.8548  1909.07997   -57192.38  4310.07235  -2400.9924  18016.8793  -23802.207   33390.172
      0.704     0.00334     0.00149  20354.2653  20354.2653  -1768.8606  -1768.8606   -1535.049  2002.67218   -55605.87  4544.05287  -2541.3807  17540.9269  -23167.604   32438.268
      0.706     0.00349     0.00141  19283.3434  19283.3434  -1856.8045  -1856.8045  -1610.4295  2103.17956   -52546.09  4795.32132  -2692.1418  16622.9939  -21943.693  30602.4016
      0.708     0.00366      0.0013  17744.9287  17744.9287  -1950.7028  -1950.7028  -1690.9137  2210.49185   -48150.62  5063.60204  -2853.1102  15304.3527  -20185.505  27965.1192
       0.71     0.00384     0.00116  15807.2897  15807.2897  -2050.4486  -2050.4486  -1776.4101  2324.48702   -42614.51  5348.58997  -3024.1029  13643.5193   -17971.06  24643.4523
      0.712     0.00403       0.001  13555.8738  13555.8738   -2155.925   -2155.925  -1866.8185  2445.03151    -36181.9  5649.95119    -3204.92  11713.7342  -15398.013  20783.8822
      0.714     0.00423   8.275E-04  11089.6296  11089.6296  -2267.0053  -2267.0053  -1962.0302  2571.98044  -29135.484  5967.32352   -3395.343  9599.81062  -12579.449   16556.035
      0.716     0.00443   6.437E-04  8516.75017  8516.75017  -2383.5531  -2383.5531  -2061.9282  2705.17788    -21784.4  6300.31712   -3595.139  7394.48537   -9639.015  12145.3845
      0.718     0.00465   4.604E-04  5950.01805  5950.01805  -2505.4224  -2505.4224  -2166.3876  2844.45709  -14450.879  6648.51515   -3804.058  5194.42926   -6705.607  7745.27233
       0.72     0.00488   2.855E-04  3501.94946  3501.94946  -2632.4581  -2632.4581  -2275.2755  2989.64084   -7456.397  7011.47452   -4021.834  3096.08476   -3907.814  3548.58332
      0.722     0.00511   1.266E-04  1276.86871  1276.86871  -2764.4139  -2764.4139  -2388.3804  3140.44741  -1099.0239  7388.49094   -4248.044  1188.87269  -1364.8647  -265.84081
      0.724     0.00536  -1.051E-05  -642.81692  -642.81692  -2900.7047  -2900.7047  -2505.2011   3296.2083  4385.79217  7777.89317   -4481.685  -456.57214    829.0617    -3556.73
      0.726     0.00561  -1.211E-04  -2190.9287  -2190.9287  -3040.6556  -3040.6556   -2625.159  3456.15217   8808.9687  8177.75285   -4721.601  -1783.5251  2598.33231   -6210.636
      0.728     0.00586  -2.015E-04   -3317.277   -3317.277   -3183.585   -3183.585  -2747.6702  3619.50046  12027.1055  8586.12357   -4966.623  -2748.9661  3885.58705   -8141.518
       0.73     0.00612  -2.496E-04   -3989.819   -3989.819   -3328.808   -3328.808  -2872.1464  3785.46872  13948.6553  9001.04423   -5215.576   -3325.431  4654.20695   -9294.448
      0.732     0.00638  -2.643E-04   -4196.041   -4196.041   -3475.632   -3475.632  -2997.9958    3953.268  14537.8624  9420.54242   -5467.274   -3502.193  4889.88979   -9647.973
      0.734     0.00665  -2.463E-04   -3943.495   -3943.495   -3623.365   -3623.365  -3124.6244  4122.10616  13816.3021  9842.63782   -5720.532   -3285.725  4601.26569   -9215.036
      0.736     0.00691  -1.974E-04   -3259.596   -3259.596   -3771.288   -3771.288    -3251.42  4291.15601  11861.4478  10265.4456    -5974.19  -2699.5019  3819.69021   -8042.257
      0.738     0.00717  -1.210E-04  -2189.8256  -2189.8256    -3918.78    -3918.78   -3377.837   4459.7231  8805.81706  10686.6802   -6226.957  -1782.5796  2597.07165   -6208.745
       0.74     0.00744  -2.152E-05  -797.01369  -797.01369   -4065.072   -4065.072    -3503.23  4626.91411  4826.35436  11104.6577   -6477.744   -588.7408  1005.28658   -3821.068
      0.742     0.00769   9.598E-05   848.08816   848.08816   -4209.644   -4209.644   -3627.149  4792.13871   126.06338  11517.7192    -6725.58    821.3465  -874.82982  -1000.8932
      0.744     0.00795   2.272E-04  2685.63332  2685.63332   -4352.538   -4352.538    -3749.63  4955.44638   -5124.066  11925.9884   -6970.542  2396.38521  -2974.8814  2149.18422
      0.746      0.0082   3.678E-04  4652.97759  4652.97759   -4493.948   -4493.948   -3870.838  5117.05739  -10745.049  12330.0159   -7212.958   4082.6803   -5223.275   5521.7744
      0.748     0.00845   5.127E-04   6681.8913   6681.8913   -4634.068   -4634.068   -3990.941  5277.19491  -16541.946  12730.3597   -7453.165  5821.74919   -7542.033  8999.91219
       0.75      0.0087   6.569E-04   8701.4955   8701.4955   -4773.097   -4773.097   -4110.108  5436.08469  -22312.243  13127.5841   -7691.499  7552.83851   -9850.152  12462.0908
      0.752     0.00895   7.955E-04  10641.3091  10641.3091   -4911.233   -4911.233   -4228.511  5593.95457  -27854.568  13522.2588   -7928.304  9215.53585  -12067.082  15787.4855
      0.754     0.00919   9.236E-04  12434.2884  12434.2884   -5048.677   -5048.677    -4346.32  5751.03422   -32977.37   13914.958   -8163.924  10752.3753  -14116.202  18861.1643
      0.756      0.0092   9.290E-04   12510.837   12510.837   -5054.898   -5054.898   -4351.645  5758.15109   -33194.76  13932.4684   -8174.471  10817.9518  -14203.722  18991.8051
